,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,spectralis_only_histmatching,Background,1.0,1.0,1.0,1.0,0.0
1,spectralis_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
2,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
3,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
4,spectralis_only_histmatching,Background,1.0,1.0,1.0,1.0,0.0
5,spectralis_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
6,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
7,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
8,spectralis_only_histmatching,Background,0.9999313354492188,0.9999656677246094,0.9999313354492188,1.0,0.0
9,spectralis_only_histmatching,IRF,0.9999313354492188,0.0,0.0,0.0,1.0
10,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
11,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
12,spectralis_only_histmatching,Background,0.998866081237793,0.9994327425956726,0.998866081237793,1.0,0.0
13,spectralis_only_histmatching,IRF,0.998866081237793,0.0,0.0,0.0,1.0
14,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
15,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
16,spectralis_only_histmatching,Background,0.9975662231445312,0.9987816214561462,0.9975662231445312,1.0,0.0
17,spectralis_only_histmatching,IRF,0.9975662231445312,0.0,0.0,0.0,1.0
18,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
19,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
20,spectralis_only_histmatching,Background,0.9966692924499512,0.9983318448066711,0.9966692924499512,1.0,0.0
21,spectralis_only_histmatching,IRF,0.9966692924499512,0.0,0.0,0.0,1.0
22,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
23,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
24,spectralis_only_histmatching,Background,0.9929747581481934,0.9964749813079834,0.9929747581481934,1.0,0.0
25,spectralis_only_histmatching,IRF,0.9929747581481934,0.0,0.0,0.0,1.0
26,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
27,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
28,spectralis_only_histmatching,Background,0.9834661483764648,0.9916641712188721,0.9834661483764648,1.0,0.0
29,spectralis_only_histmatching,IRF,0.9834661483764648,0.0,0.0,0.0,1.0
30,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
31,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
32,spectralis_only_histmatching,Background,0.9875516891479492,0.9937368631362915,0.9875516891479492,1.0,0.0
33,spectralis_only_histmatching,IRF,0.9875516891479492,0.0,0.0,0.0,1.0
34,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
35,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
36,spectralis_only_histmatching,Background,0.999629020690918,0.9998144507408142,0.999629020690918,1.0,0.0
37,spectralis_only_histmatching,IRF,0.999629020690918,0.0,0.0,0.0,1.0
38,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
39,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
40,spectralis_only_histmatching,Background,1.0,1.0,1.0,1.0,0.0
41,spectralis_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
42,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
43,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
44,spectralis_only_histmatching,Background,1.0,1.0,1.0,1.0,0.0
45,spectralis_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
46,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
47,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
48,spectralis_only_histmatching,Background,1.0,1.0,1.0,1.0,0.0
49,spectralis_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
50,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
51,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
52,spectralis_only_histmatching,Background,1.0,1.0,1.0,1.0,0.0
53,spectralis_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
54,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
55,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
56,spectralis_only_histmatching,Background,1.0,1.0,1.0,1.0,0.0
57,spectralis_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
58,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
59,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
60,spectralis_only_histmatching,Background,1.0,1.0,1.0,1.0,0.0
61,spectralis_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
62,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
63,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
64,spectralis_only_histmatching,Background,0.999920129776001,0.9999600648880005,1.0,0.999920129776001,0.0
65,spectralis_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
66,spectralis_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
67,spectralis_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
68,spectralis_only_histmatching,Background,0.9986228942871094,0.9993109107017517,0.9999212026596069,0.9987013339996338,0.5397489666938782
69,spectralis_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
70,spectralis_only_histmatching,SRD,0.9997506141662598,0.0,0.0,0.0,0.9997506141662598
71,spectralis_only_histmatching,PED,0.9991405010223389,0.17145483195781708,0.10264171659946442,0.5202231407165527,0.9992223978042603
72,spectralis_only_histmatching,Background,0.987694501876831,0.9937445521354675,0.9963859915733337,0.9911171197891235,0.7432621717453003
73,spectralis_only_histmatching,IRF,0.9989876747131348,0.7385467886924744,0.6033806204795837,0.9517536759376526,0.999058723449707
