,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,Cirrus,Background,0.9999933242797852,0.9999966621398926,1.0,0.9999933242797852,0.0
1,Cirrus,IRF,0.9999935626983643,0.0,0.0,0.0,0.9999935626983643
2,Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
3,Cirrus,PED,1.0,0.0,0.0,0.0,1.0
4,Cirrus,Background,0.999997615814209,0.9999988079071045,1.0,0.999997615814209,0.0
5,Cirrus,IRF,1.0,0.0,0.0,0.0,1.0
6,Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
7,Cirrus,PED,1.0,0.0,0.0,0.0,1.0
8,Cirrus,Background,0.999945878982544,0.999972939491272,0.999953031539917,0.999992847442627,0.3159722089767456
9,Cirrus,IRF,0.9999451637268066,0.42786070704460144,0.7543859481811523,0.2986111044883728,0.9999933242797852
10,Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
11,Cirrus,PED,1.0,0.0,0.0,0.0,1.0
12,Cirrus,Background,0.998992919921875,0.9994960427284241,0.9991691708564758,0.9998231530189514,0.2676618993282318
13,Cirrus,IRF,0.9989869594573975,0.371914267539978,0.6261821985244751,0.2645079791545868,0.9998207688331604
14,Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
15,Cirrus,PED,1.0,0.0,0.0,0.0,1.0
16,Cirrus,Background,0.9983267784118652,0.9991616010665894,0.9988353848457336,0.9994880557060242,0.522335410118103
17,Cirrus,IRF,0.9983322620391846,0.6031205654144287,0.7165970206260681,0.5206700563430786,0.9994975924491882
18,Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
19,Cirrus,PED,1.0,0.0,0.0,0.0,1.0
20,Cirrus,Background,0.99741530418396,0.9987035989761353,0.9984956979751587,0.9989115595817566,0.5496779084205627
21,Cirrus,IRF,0.9974122047424316,0.5846154093742371,0.628125011920929,0.5467430353164673,0.9989182949066162
22,Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
23,Cirrus,PED,1.0,0.0,0.0,0.0,1.0
24,Cirrus,Background,0.9954946041107178,0.9977333545684814,0.9968587160110474,0.9986095428466797,0.5552161931991577
25,Cirrus,IRF,0.9954986572265625,0.6348162293434143,0.7380588054656982,0.5569130778312683,0.9986016154289246
26,Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
27,Cirrus,PED,1.0,0.0,0.0,0.0,1.0
28,Cirrus,Background,0.995250940322876,0.9975886940956116,0.9963030815124512,0.9988775849342346,0.7795321941375732
29,Cirrus,IRF,0.9952614307403564,0.8446184992790222,0.9223912954330444,0.7789409756660461,0.9988981485366821
30,Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
31,Cirrus,PED,0.9999964237213135,0.0,0.0,0.0,0.9999964237213135
32,Cirrus,Background,0.9979746341705322,0.9989752173423767,0.9983435273170471,0.9996076822280884,0.8684210777282715
33,Cirrus,IRF,0.9979739189147949,0.9144002795219421,0.9644101858139038,0.8693212270736694,0.9995956420898438
34,Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
35,Cirrus,PED,0.9999947547912598,0.0,0.0,0.0,0.9999947547912598
36,Cirrus,Background,0.9997563362121582,0.9998781085014343,0.9997584223747253,0.9999978542327881,0.34897172451019287
37,Cirrus,IRF,0.9997532367706299,0.5050215125083923,0.9869158864021301,0.33933162689208984,0.9999983310699463
38,Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
39,Cirrus,PED,1.0,0.0,0.0,0.0,1.0
40,Cirrus,Background,1.0,1.0,1.0,1.0,0.0
41,Cirrus,IRF,1.0,0.0,0.0,0.0,1.0
42,Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
43,Cirrus,PED,1.0,0.0,0.0,0.0,1.0
44,Cirrus,Background,1.0,1.0,1.0,1.0,0.0
45,Cirrus,IRF,1.0,0.0,0.0,0.0,1.0
46,Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
47,Cirrus,PED,1.0,0.0,0.0,0.0,1.0
48,Cirrus,Background,1.0,1.0,1.0,1.0,0.0
49,Cirrus,IRF,1.0,0.0,0.0,0.0,1.0
50,Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
51,Cirrus,PED,1.0,0.0,0.0,0.0,1.0
52,Cirrus,Background,0.9998211860656738,0.9999105930328369,1.0,0.9998211860656738,0.0
53,Cirrus,IRF,0.9998202323913574,0.0,0.0,0.0,0.9998202323913574
54,Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
55,Cirrus,PED,1.0,0.0,0.0,0.0,1.0
56,Cirrus,Background,1.0,1.0,1.0,1.0,0.0
57,Cirrus,IRF,1.0,0.0,0.0,0.0,1.0
58,Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
59,Cirrus,PED,1.0,0.0,0.0,0.0,1.0
60,Cirrus,Background,0.9999790191650391,0.9999895095825195,1.0,0.9999790191650391,0.0
61,Cirrus,IRF,0.99997878074646,0.0,0.0,0.0,0.99997878074646
