,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,spectralis_no-svdna,Background,1.0,1.0,1.0,1.0,0.0
1,spectralis_no-svdna,IRF,1.0,0.0,0.0,0.0,1.0
2,spectralis_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
3,spectralis_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
4,spectralis_no-svdna,Background,1.0,1.0,1.0,1.0,0.0
5,spectralis_no-svdna,IRF,1.0,0.0,0.0,0.0,1.0
6,spectralis_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
7,spectralis_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
8,spectralis_no-svdna,Background,0.9999339580535889,0.9999669790267944,0.9999430179595947,0.9999909400939941,0.1701388955116272
9,spectralis_no-svdna,IRF,0.9999463558197021,0.36974790692329407,0.95652174949646,0.2291666716337204,0.9999992847442627
10,spectralis_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
11,spectralis_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
12,spectralis_no-svdna,Background,0.998866081237793,0.9994327425956726,0.998866081237793,1.0,0.0
13,spectralis_no-svdna,IRF,0.998866081237793,0.0,0.0,0.0,1.0
14,spectralis_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
15,spectralis_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
16,spectralis_no-svdna,Background,0.9975612163543701,0.9987791180610657,0.9975662231445312,0.9999949932098389,0.0
17,spectralis_no-svdna,IRF,0.9975662231445312,0.0,0.0,0.0,1.0
18,spectralis_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
19,spectralis_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
20,spectralis_no-svdna,Background,0.996668815612793,0.998331606388092,0.9966692924499512,0.9999995231628418,0.0
21,spectralis_no-svdna,IRF,0.9966692924499512,0.0,0.0,0.0,1.0
22,spectralis_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
23,spectralis_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
24,spectralis_no-svdna,Background,0.9929599761962891,0.9964675307273865,0.9929746389389038,0.9999850988388062,0.0
25,spectralis_no-svdna,IRF,0.9929747581481934,0.0,0.0,0.0,1.0
26,spectralis_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
27,spectralis_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
28,spectralis_no-svdna,Background,0.9834661483764648,0.9916641712188721,0.9834661483764648,1.0,0.0
29,spectralis_no-svdna,IRF,0.9834661483764648,0.0,0.0,0.0,1.0
30,spectralis_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
31,spectralis_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
32,spectralis_no-svdna,Background,0.9875445365905762,0.9937332272529602,0.9875516295433044,0.9999927282333374,0.0
33,spectralis_no-svdna,IRF,0.9875516891479492,0.0,0.0,0.0,1.0
34,spectralis_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
35,spectralis_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
36,spectralis_no-svdna,Background,0.999629020690918,0.9998144507408142,0.999629020690918,1.0,0.0
37,spectralis_no-svdna,IRF,0.999629020690918,0.0,0.0,0.0,1.0
38,spectralis_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
39,spectralis_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
40,spectralis_no-svdna,Background,1.0,1.0,1.0,1.0,0.0
41,spectralis_no-svdna,IRF,1.0,0.0,0.0,0.0,1.0
42,spectralis_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
43,spectralis_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
44,spectralis_no-svdna,Background,1.0,1.0,1.0,1.0,0.0
45,spectralis_no-svdna,IRF,1.0,0.0,0.0,0.0,1.0
46,spectralis_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
47,spectralis_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
48,spectralis_no-svdna,Background,1.0,1.0,1.0,1.0,0.0
49,spectralis_no-svdna,IRF,1.0,0.0,0.0,0.0,1.0
50,spectralis_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
