,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,spectralis_topcon_no-svdna,Background,1.0,1.0,1.0,1.0,0.0
1,spectralis_topcon_no-svdna,IRF,0.9999971389770508,0.0,0.0,0.0,0.9999971389770508
2,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
3,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
4,spectralis_topcon_no-svdna,Background,1.0,1.0,1.0,1.0,0.0
5,spectralis_topcon_no-svdna,IRF,1.0,0.0,0.0,0.0,1.0
6,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
7,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
8,spectralis_topcon_no-svdna,Background,0.9999547004699707,0.9999773502349854,0.9999809265136719,0.9999737739562988,0.7222222089767456
9,spectralis_topcon_no-svdna,IRF,0.9999425411224365,0.6502177119255066,0.5586034655570984,0.7777777910232544,0.999957799911499
10,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
11,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
12,spectralis_topcon_no-svdna,Background,0.9991602897644043,0.9995797872543335,0.9993241429328918,0.9998355507850647,0.40433135628700256
13,spectralis_topcon_no-svdna,IRF,0.9991626739501953,0.5543147325515747,0.6991037130355835,0.4592094123363495,0.9997756481170654
14,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
15,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
16,spectralis_topcon_no-svdna,Background,0.9979007244110107,0.99894779920578,0.9989357590675354,0.9989598989486694,0.563773512840271
17,spectralis_topcon_no-svdna,IRF,0.997873067855835,0.5815077424049377,0.5579259991645813,0.607170820236206,0.998826265335083
18,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
19,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
20,spectralis_topcon_no-svdna,Background,0.9973011016845703,0.9986457824707031,0.9988410472869873,0.9984505772590637,0.653328537940979
21,spectralis_topcon_no-svdna,IRF,0.9972233772277832,0.621465265750885,0.5691831111907959,0.6843235492706299,0.9982690215110779
22,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
23,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
24,spectralis_topcon_no-svdna,Background,0.9955308437347412,0.9977505207061768,0.9973432421684265,0.9981581568717957,0.6241770386695862
25,spectralis_topcon_no-svdna,IRF,0.9955079555511475,0.6698905229568481,0.6924191117286682,0.6487816572189331,0.9979610443115234
26,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
27,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
28,spectralis_topcon_no-svdna,Background,0.9952821731567383,0.9976049065589905,0.9961714744567871,0.9990423917770386,0.7716156244277954
29,spectralis_topcon_no-svdna,IRF,0.9954495429992676,0.8513018488883972,0.9259058237075806,0.7878237366676331,0.998940110206604
30,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
31,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
32,spectralis_topcon_no-svdna,Background,0.9980578422546387,0.9990172982215881,0.9983645677566528,0.9996709227561951,0.8700873255729675
33,spectralis_topcon_no-svdna,IRF,0.9981980323791504,0.9242169260978699,0.9698442816734314,0.8826897740364075,0.9996540546417236
34,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
35,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
36,spectralis_topcon_no-svdna,Background,0.9997851848602295,0.99989253282547,0.9998242259025574,0.9999608993530273,0.5263496041297913
37,spectralis_topcon_no-svdna,IRF,0.9997849464416504,0.6601356267929077,0.7978141903877258,0.5629820227622986,0.9999470710754395
38,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
39,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
40,spectralis_topcon_no-svdna,Background,1.0,1.0,1.0,1.0,0.0
41,spectralis_topcon_no-svdna,IRF,1.0,0.0,0.0,0.0,1.0
42,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
43,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
44,spectralis_topcon_no-svdna,Background,1.0,1.0,1.0,1.0,0.0
45,spectralis_topcon_no-svdna,IRF,1.0,0.0,0.0,0.0,1.0
46,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
47,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
48,spectralis_topcon_no-svdna,Background,1.0,1.0,1.0,1.0,0.0
49,spectralis_topcon_no-svdna,IRF,1.0,0.0,0.0,0.0,1.0
50,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
51,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
52,spectralis_topcon_no-svdna,Background,0.9998579025268555,0.9999289512634277,1.0,0.9998579025268555,0.0
53,spectralis_topcon_no-svdna,IRF,0.9998390674591064,0.0,0.0,0.0,0.9998390674591064
54,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
55,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
56,spectralis_topcon_no-svdna,Background,1.0,1.0,1.0,1.0,0.0
57,spectralis_topcon_no-svdna,IRF,1.0,0.0,0.0,0.0,1.0
58,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
59,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
60,spectralis_topcon_no-svdna,Background,1.0,1.0,1.0,1.0,0.0
61,spectralis_topcon_no-svdna,IRF,1.0,0.0,0.0,0.0,1.0
62,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
63,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
64,spectralis_topcon_no-svdna,Background,0.999666690826416,0.999833345413208,1.0,0.999666690826416,0.0
65,spectralis_topcon_no-svdna,IRF,1.0,0.0,0.0,0.0,1.0
66,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
67,spectralis_topcon_no-svdna,PED,0.9999792575836182,0.0,0.0,0.0,0.9999792575836182
68,spectralis_topcon_no-svdna,Background,0.998462438583374,0.9992305636405945,0.9998772740364075,0.9985847473144531,0.2831241190433502
69,spectralis_topcon_no-svdna,IRF,1.0,0.0,0.0,0.0,1.0
70,spectralis_topcon_no-svdna,SRD,0.9995808601379395,0.0,0.0,0.0,0.9995808601379395
71,spectralis_topcon_no-svdna,PED,0.9990034103393555,0.07929515093564987,0.04708344116806984,0.2510460317134857,0.9991313219070435
72,spectralis_topcon_no-svdna,Background,0.9946892261505127,0.9973082542419434,0.997012197971344,0.9976044297218323,0.7864949107170105
73,spectralis_topcon_no-svdna,IRF,0.9985141754150391,0.6643688082695007,0.5028124451637268,0.9788922667503357,0.9985436797142029
74,spectralis_topcon_no-svdna,SRD,0.9999120235443115,0.533501923084259,0.487297922372818,0.589385449886322,0.9999470710754395
75,spectralis_topcon_no-svdna,PED,0.9966204166412354,0.8472077250480652,0.9466673135757446,0.7666601538658142,0.9994655847549438
76,spectralis_topcon_no-svdna,Background,0.9902067184448242,0.9949848651885986,0.9930933713912964,0.9968836307525635,0.734851598739624
77,spectralis_topcon_no-svdna,IRF,0.9970564842224121,0.5874490141868591,0.42365530133247375,0.9577249884605408,0.9971427321434021
78,spectralis_topcon_no-svdna,SRD,0.9999923706054688,0.0,0.0,0.0,0.9999923706054688
79,spectralis_topcon_no-svdna,PED,0.9931316375732422,0.8284094333648682,0.9907394051551819,0.7117853164672852,0.9998413324356079
80,spectralis_topcon_no-svdna,Background,0.9952743053436279,0.9976176619529724,0.9964216351509094,0.9988166093826294,0.6205316185951233
81,spectralis_topcon_no-svdna,IRF,0.9992969036102295,0.4980425536632538,0.3473409414291382,0.8797354102134705,0.9993443489074707
82,spectralis_topcon_no-svdna,SRD,0.9999563694000244,0.6163522005081177,0.8855421543121338,0.4726687967777252,0.9999954700469971
83,spectralis_topcon_no-svdna,PED,0.9962441921234131,0.7443732023239136,0.9429757595062256,0.6148731708526611,0.9996663331985474
84,spectralis_topcon_no-svdna,Background,0.9971191883087158,0.9985575079917908,0.9999533891677856,0.9971655011177063,0.1975308656692505
85,spectralis_topcon_no-svdna,IRF,1.0,0.0,0.0,0.0,1.0
86,spectralis_topcon_no-svdna,SRD,0.9999549388885498,0.38032788038253784,0.9354838728904724,0.23868313431739807,0.9999990463256836
87,spectralis_topcon_no-svdna,PED,0.9998607635498047,0.0,0.0,0.0,0.9998607635498047
88,spectralis_topcon_no-svdna,Background,0.9942395687103271,0.997111439704895,1.0,0.9942395687103271,0.0
89,spectralis_topcon_no-svdna,IRF,0.9999969005584717,0.0,0.0,0.0,0.9999969005584717
90,spectralis_topcon_no-svdna,SRD,0.9985544681549072,0.0,0.0,0.0,0.9985544681549072
91,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
92,spectralis_topcon_no-svdna,Background,0.9999289512634277,0.9999644756317139,1.0,0.9999289512634277,0.0
93,spectralis_topcon_no-svdna,IRF,0.9999184608459473,0.0,0.0,0.0,0.9999184608459473
94,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
95,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
96,spectralis_topcon_no-svdna,Background,0.9999442100524902,0.9999721050262451,1.0,0.9999442100524902,0.0
97,spectralis_topcon_no-svdna,IRF,0.999993085861206,0.0,0.0,0.0,0.999993085861206
98,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
99,spectralis_topcon_no-svdna,PED,0.9999470710754395,0.0,0.0,0.0,0.9999470710754395
100,spectralis_topcon_no-svdna,Background,0.9997270107269287,0.9998635053634644,1.0,0.9997270107269287,0.0
101,spectralis_topcon_no-svdna,IRF,0.999701738357544,0.0,0.0,0.0,0.999701738357544
102,spectralis_topcon_no-svdna,SRD,1.0,0.0,0.0,0.0,1.0
103,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
104,spectralis_topcon_no-svdna,Background,0.9976954460144043,0.9988430142402649,0.9986037015914917,0.9990823864936829,0.6783548593521118
105,spectralis_topcon_no-svdna,IRF,0.9993767738342285,0.7037624716758728,0.5786433219909668,0.8979178667068481,0.9994605183601379
106,spectralis_topcon_no-svdna,SRD,0.9984521865844727,0.7459099888801575,0.8766329288482666,0.6491144299507141,0.9996791481971741
107,spectralis_topcon_no-svdna,PED,0.999929666519165,0.0,0.0,0.0,0.999929666519165
108,spectralis_topcon_no-svdna,Background,0.9939000606536865,0.9969125390052795,0.9967592358589172,0.9970659613609314,0.739375114440918
109,spectralis_topcon_no-svdna,IRF,0.9968736171722412,0.7935253381729126,0.7231038808822632,0.8791431188583374,0.9976836442947388
110,spectralis_topcon_no-svdna,SRD,0.9976115226745605,0.7362990379333496,0.9248776435852051,0.6115970015525818,0.9997276663780212
111,spectralis_topcon_no-svdna,PED,0.9996702671051025,0.0,0.0,0.0,0.9996702671051025
112,spectralis_topcon_no-svdna,Background,0.9885010719299316,0.9940651059150696,0.9934971332550049,0.9946337342262268,0.8017754554748535
113,spectralis_topcon_no-svdna,IRF,0.992633581161499,0.8252896666526794,0.7800891399383545,0.8760504126548767,0.9949958920478821
114,spectralis_topcon_no-svdna,SRD,0.9961738586425781,0.8170459270477295,0.9519685506820679,0.7156208753585815,0.9995637536048889
115,spectralis_topcon_no-svdna,PED,0.9997498989105225,0.0,0.0,0.0,0.9997498989105225
116,spectralis_topcon_no-svdna,Background,0.9814009666442871,0.9902800917625427,0.9863674640655518,0.9942238926887512,0.7216495275497437
117,spectralis_topcon_no-svdna,IRF,0.9915764331817627,0.8362357020378113,0.7858007550239563,0.8935887813568115,0.9939929246902466
118,spectralis_topcon_no-svdna,SRD,0.9897890090942383,0.7164797782897949,0.9894862174987793,0.5615453124046326,0.9998596906661987
119,spectralis_topcon_no-svdna,PED,1.0,0.0,0.0,0.0,1.0
120,spectralis_topcon_no-svdna,Background,0.9720637798309326,0.9854666590690613,0.9790306687355042,0.9919878840446472,0.5512762069702148
121,spectralis_topcon_no-svdna,IRF,0.9897081851959229,0.8160029053688049,0.7630922198295593,0.8767976760864258,0.9927255511283875
122,spectralis_topcon_no-svdna,SRD,0.9820911884307861,0.12613283097743988,0.9843835234642029,0.06738346815109253,0.9999790787696838
123,spectralis_topcon_no-svdna,PED,0.999182939529419,0.0,0.0,0.0,0.999182939529419
124,spectralis_topcon_no-svdna,Background,0.9797611236572266,0.9896098971366882,0.9852339029312134,0.994024932384491,0.5244792699813843
125,spectralis_topcon_no-svdna,IRF,0.990187406539917,0.7682327032089233,0.7449787855148315,0.792985200881958,0.9943163394927979
126,spectralis_topcon_no-svdna,SRD,0.9901304244995117,0.0,0.0,0.0,1.0
127,spectralis_topcon_no-svdna,PED,0.9993984699249268,0.0,0.0,0.0,0.9993984699249268
