,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,Spectralis-Cirrus-HistmatchingOnly,Background,1.0,1.0,1.0,1.0,0.0
1,Spectralis-Cirrus-HistmatchingOnly,IRF,1.0,0.0,0.0,0.0,1.0
2,Spectralis-Cirrus-HistmatchingOnly,SRD,1.0,0.0,0.0,0.0,1.0
3,Spectralis-Cirrus-HistmatchingOnly,PED,1.0,0.0,0.0,0.0,1.0
4,Spectralis-Cirrus-HistmatchingOnly,Background,1.0,1.0,1.0,1.0,0.0
5,Spectralis-Cirrus-HistmatchingOnly,IRF,1.0,0.0,0.0,0.0,1.0
6,Spectralis-Cirrus-HistmatchingOnly,SRD,1.0,0.0,0.0,0.0,1.0
7,Spectralis-Cirrus-HistmatchingOnly,PED,1.0,0.0,0.0,0.0,1.0
8,Spectralis-Cirrus-HistmatchingOnly,Background,0.9999463558197021,0.9999731779098511,0.9999535083770752,0.999992847442627,0.3229166567325592
9,Spectralis-Cirrus-HistmatchingOnly,IRF,0.9999480247497559,0.45771142840385437,0.8070175647735596,0.3194444477558136,0.9999947547912598
10,Spectralis-Cirrus-HistmatchingOnly,SRD,1.0,0.0,0.0,0.0,1.0
11,Spectralis-Cirrus-HistmatchingOnly,PED,1.0,0.0,0.0,0.0,1.0
12,Spectralis-Cirrus-HistmatchingOnly,Background,0.9991683959960938,0.9995838403701782,0.9993177056312561,0.9998500943183899,0.39865434169769287
13,Spectralis-Cirrus-HistmatchingOnly,IRF,0.9991676807403564,0.5295782089233398,0.7373358607292175,0.41316232085227966,0.9998329281806946
14,Spectralis-Cirrus-HistmatchingOnly,SRD,1.0,0.0,0.0,0.0,1.0
15,Spectralis-Cirrus-HistmatchingOnly,PED,1.0,0.0,0.0,0.0,1.0
16,Spectralis-Cirrus-HistmatchingOnly,Background,0.9982919692993164,0.9991439580917358,0.9990618228912354,0.9992260932922363,0.6153996586799622
17,Spectralis-Cirrus-HistmatchingOnly,IRF,0.9982810020446777,0.6405782699584961,0.6521518230438232,0.6294082999229431,0.9991809725761414
18,Spectralis-Cirrus-HistmatchingOnly,SRD,1.0,0.0,0.0,0.0,1.0
19,Spectralis-Cirrus-HistmatchingOnly,PED,1.0,0.0,0.0,0.0,1.0
20,Spectralis-Cirrus-HistmatchingOnly,Background,0.9974226951599121,0.9987075328826904,0.9983506202697754,0.9990646839141846,0.5060844421386719
21,Spectralis-Cirrus-HistmatchingOnly,IRF,0.9974076747894287,0.5718785524368286,0.6355124115943909,0.519828200340271,0.9990036487579346
22,Spectralis-Cirrus-HistmatchingOnly,SRD,1.0,0.0,0.0,0.0,1.0
23,Spectralis-Cirrus-HistmatchingOnly,PED,1.0,0.0,0.0,0.0,1.0
