,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,Spectralis-Cirrus,Background,0.9999895095825195,0.9999947547912598,1.0,0.9999895095825195,0.0
1,Spectralis-Cirrus,IRF,0.9999940395355225,0.0,0.0,0.0,0.9999940395355225
2,Spectralis-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
3,Spectralis-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
4,Spectralis-Cirrus,Background,0.9999582767486572,0.9999791383743286,1.0,0.9999582767486572,0.0
5,Spectralis-Cirrus,IRF,0.9999592304229736,0.0,0.0,0.0,0.9999592304229736
6,Spectralis-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
7,Spectralis-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
8,Spectralis-Cirrus,Background,0.9998342990875244,0.9999171495437622,0.9999771118164062,0.9998571872711182,0.6666666865348816
9,Spectralis-Cirrus,IRF,0.999833345413208,0.3569457232952118,0.24280349910259247,0.6736111044883728,0.9998557567596436
10,Spectralis-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
11,Spectralis-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
12,Spectralis-Cirrus,Background,0.9990072250366211,0.9995030760765076,0.9994232058525085,0.9995830059051514,0.49179983139038086
13,Spectralis-Cirrus,IRF,0.99904465675354,0.5437777638435364,0.5929972529411316,0.5021026134490967,0.9996088147163391
14,Spectralis-Cirrus,SRD,0.9999523162841797,0.0,0.0,0.0,0.9999523162841797
15,Spectralis-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
16,Spectralis-Cirrus,Background,0.9981033802032471,0.9990491271018982,0.9993098974227905,0.9987885355949402,0.7172805666923523
17,Spectralis-Cirrus,IRF,0.9980549812316895,0.6461965441703796,0.5797665119171143,0.7298197746276855,0.9987093806266785
18,Spectralis-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
19,Spectralis-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
20,Spectralis-Cirrus,Background,0.9971470832824707,0.9985678791999817,0.999193549156189,0.9979429841041565,0.7589835524559021
21,Spectralis-Cirrus,IRF,0.9970920085906982,0.6373502016067505,0.5450846552848816,0.7672154903411865,0.9978601932525635
22,Spectralis-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
23,Spectralis-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
24,Spectralis-Cirrus,Background,0.9957675933837891,0.9978693723678589,0.9976195693016052,0.9981192350387573,0.6633747220039368
25,Spectralis-Cirrus,IRF,0.9957082271575928,0.6867266297340393,0.704768717288971,0.6695852875709534,0.9980155229568481
26,Spectralis-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
27,Spectralis-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
28,Spectralis-Cirrus,Background,0.9953477382659912,0.9976364970207214,0.9969046115875244,0.9983694553375244,0.8156111240386963
29,Spectralis-Cirrus,IRF,0.9953036308288574,0.8519993424415588,0.8894361853599548,0.8175866603851318,0.9982913732528687
30,Spectralis-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
31,Spectralis-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
32,Spectralis-Cirrus,Background,0.9983828067779541,0.9991813898086548,0.9989781975746155,0.9993845820426941,0.9189075231552124
33,Spectralis-Cirrus,IRF,0.9983832836151123,0.9340530037879944,0.9488075971603394,0.9197502732276917,0.9993744492530823
34,Spectralis-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
35,Spectralis-Cirrus,PED,0.9999933242797852,0.0,0.0,0.0,0.9999933242797852
36,Spectralis-Cirrus,Background,0.9997949600219727,0.9998974800109863,0.9997979998588562,0.9999969005584717,0.4556555151939392
37,Spectralis-Cirrus,IRF,0.9997901916503906,0.6095829606056213,0.984240710735321,0.4415166974067688,0.9999973773956299
38,Spectralis-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
39,Spectralis-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
40,Spectralis-Cirrus,Background,0.9999864101409912,0.9999932050704956,1.0,0.9999864101409912,0.0
41,Spectralis-Cirrus,IRF,0.9999856948852539,0.0,0.0,0.0,0.9999856948852539
42,Spectralis-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
43,Spectralis-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
44,Spectralis-Cirrus,Background,1.0,1.0,1.0,1.0,0.0
45,Spectralis-Cirrus,IRF,1.0,0.0,0.0,0.0,1.0
46,Spectralis-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
47,Spectralis-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
48,Spectralis-Cirrus,Background,1.0,1.0,1.0,1.0,0.0
49,Spectralis-Cirrus,IRF,1.0,0.0,0.0,0.0,1.0
50,Spectralis-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
51,Spectralis-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
52,Spectralis-Cirrus,Background,0.9997742176055908,0.9998871088027954,1.0,0.9997742176055908,0.0
53,Spectralis-Cirrus,IRF,0.9997735023498535,0.0,0.0,0.0,0.9997735023498535
54,Spectralis-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
55,Spectralis-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
