,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,Spectralis-Topcon-noSVDNA,Background,1.0,1.0,1.0,1.0,0.0
1,Spectralis-Topcon-noSVDNA,IRF,1.0,0.0,0.0,0.0,1.0
2,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
3,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
4,Spectralis-Topcon-noSVDNA,Background,1.0,1.0,1.0,1.0,0.0
5,Spectralis-Topcon-noSVDNA,IRF,1.0,0.0,0.0,0.0,1.0
6,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
7,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
8,Spectralis-Topcon-noSVDNA,Background,0.9999368190765381,0.999968409538269,0.9999861717224121,0.999950647354126,0.7986111044883728
9,Spectralis-Topcon-noSVDNA,IRF,0.9999358654022217,0.6205923557281494,0.5225653052330017,0.7638888955116272,0.9999520778656006
10,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
11,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
12,Spectralis-Topcon-noSVDNA,Background,0.9991686344146729,0.999583899974823,0.9994211196899414,0.9997467398643494,0.48990747332572937
13,Spectralis-Topcon-noSVDNA,IRF,0.999176025390625,0.5716410279273987,0.6962560415267944,0.48486122488975525,0.9997598528862
14,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
15,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
16,Spectralis-Topcon-noSVDNA,Background,0.997718334197998,0.9988558888435364,0.9992874264717102,0.998424768447876,0.7081700563430786
17,Spectralis-Topcon-noSVDNA,IRF,0.9977099895477295,0.597662627696991,0.522063672542572,0.6988636255264282,0.9984390735626221
18,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
19,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
20,Spectralis-Topcon-noSVDNA,Background,0.9967985153198242,0.9983927011489868,0.9991602897644043,0.9976262450218201,0.7491052150726318
21,Spectralis-Topcon-noSVDNA,IRF,0.9968323707580566,0.6096715331077576,0.5170420408248901,0.742734432220459,0.9976814985275269
22,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
23,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
24,Spectralis-Topcon-noSVDNA,Background,0.9954206943511963,0.997694194316864,0.9976677298545837,0.9977206587791443,0.6703318953514099
25,Spectralis-Topcon-noSVDNA,IRF,0.9954187870025635,0.6708801984786987,0.6772486567497253,0.6646304130554199,0.9977591037750244
26,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
27,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
28,Spectralis-Topcon-noSVDNA,Background,0.9956338405609131,0.9977821707725525,0.9969058036804199,0.9986600875854492,0.8156255483627319
29,Spectralis-Topcon-noSVDNA,IRF,0.9956245422363281,0.8600579500198364,0.9126424193382263,0.813202977180481,0.9986913800239563
30,Spectralis-Topcon-noSVDNA,SRD,0.9999792575836182,0.0,0.0,0.0,0.9999792575836182
31,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
32,Spectralis-Topcon-noSVDNA,Background,0.9982421398162842,0.9991104602813721,0.9986066818237305,0.9996147155761719,0.889354944229126
33,Spectralis-Topcon-noSVDNA,IRF,0.9982295036315918,0.9258793592453003,0.9667541980743408,0.8883206844329834,0.999614953994751
34,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
35,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
36,Spectralis-Topcon-noSVDNA,Background,0.9998862743377686,0.9999431371688843,0.999906063079834,0.9999802112579346,0.7467866539955139
37,Spectralis-Topcon-noSVDNA,IRF,0.9998846054077148,0.8260244131088257,0.9371941089630127,0.7384318709373474,0.9999816417694092
38,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
39,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
40,Spectralis-Topcon-noSVDNA,Background,1.0,1.0,1.0,1.0,0.0
41,Spectralis-Topcon-noSVDNA,IRF,1.0,0.0,0.0,0.0,1.0
42,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
43,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
44,Spectralis-Topcon-noSVDNA,Background,1.0,1.0,1.0,1.0,0.0
45,Spectralis-Topcon-noSVDNA,IRF,1.0,0.0,0.0,0.0,1.0
46,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
47,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
48,Spectralis-Topcon-noSVDNA,Background,1.0,1.0,1.0,1.0,0.0
49,Spectralis-Topcon-noSVDNA,IRF,1.0,0.0,0.0,0.0,1.0
50,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
51,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
52,Spectralis-Topcon-noSVDNA,Background,0.9998109340667725,0.9999054670333862,1.0,0.9998109340667725,0.0
53,Spectralis-Topcon-noSVDNA,IRF,0.9998190402984619,0.0,0.0,0.0,0.9998190402984619
54,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
55,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
56,Spectralis-Topcon-noSVDNA,Background,1.0,1.0,1.0,1.0,0.0
57,Spectralis-Topcon-noSVDNA,IRF,1.0,0.0,0.0,0.0,1.0
58,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
59,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
60,Spectralis-Topcon-noSVDNA,Background,1.0,1.0,1.0,1.0,0.0
61,Spectralis-Topcon-noSVDNA,IRF,1.0,0.0,0.0,0.0,1.0
62,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
63,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
64,Spectralis-Topcon-noSVDNA,Background,0.9996404647827148,0.9998201727867126,1.0,0.9996404647827148,0.0
65,Spectralis-Topcon-noSVDNA,IRF,1.0,0.0,0.0,0.0,1.0
66,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
67,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
68,Spectralis-Topcon-noSVDNA,Background,0.9983277320861816,0.9991631507873535,0.999866247177124,0.9984610080718994,0.21896791458129883
69,Spectralis-Topcon-noSVDNA,IRF,1.0,0.0,0.0,0.0,1.0
70,Spectralis-Topcon-noSVDNA,SRD,0.9991014003753662,0.0,0.0,0.0,0.9991014003753662
71,Spectralis-Topcon-noSVDNA,PED,0.9995181560516357,0.13000430166721344,0.09402241557836533,0.21059972047805786,0.9996530413627625
72,Spectralis-Topcon-noSVDNA,Background,0.9766685962677002,0.9880675077438354,0.9967834949493408,0.9795026183128357,0.7742709517478943
73,Spectralis-Topcon-noSVDNA,IRF,0.9988882541656494,0.7205274105072021,0.5788713693618774,0.9539755582809448,0.9989558458328247
74,Spectralis-Topcon-noSVDNA,SRD,0.9997813701629639,0.35377025604248047,0.23656927049160004,0.7011173367500305,0.9998068809509277
75,Spectralis-Topcon-noSVDNA,PED,0.996389627456665,0.8357823491096497,0.940956711769104,0.7517557740211487,0.9994163513183594
76,Spectralis-Topcon-noSVDNA,Background,0.9910938739776611,0.9954367876052856,0.9940734505653381,0.996803879737854,0.7727178931236267
77,Spectralis-Topcon-noSVDNA,IRF,0.9977724552154541,0.6570243239402771,0.49543264508247375,0.9750490188598633,0.9978222846984863
78,Spectralis-Topcon-noSVDNA,SRD,0.9999020099639893,0.0,0.0,0.0,0.9999020099639893
79,Spectralis-Topcon-noSVDNA,PED,0.9940798282623291,0.8559544682502747,0.9878289103507996,0.755143404006958,0.9997780919075012
80,Spectralis-Topcon-noSVDNA,Background,0.9809727668762207,0.9903392791748047,0.9962714314460754,0.9844773411750793,0.6102199554443359
81,Spectralis-Topcon-noSVDNA,IRF,0.9995861053466797,0.642504096031189,0.4885687530040741,0.9380637407302856,0.9996104836463928
82,Spectralis-Topcon-noSVDNA,SRD,0.999945878982544,0.5504950284957886,0.7164948582649231,0.44694533944129944,0.9999868869781494
83,Spectralis-Topcon-noSVDNA,PED,0.9962551593780518,0.7389866709709167,0.9720218777656555,0.5960806608200073,0.9998460412025452
84,Spectralis-Topcon-noSVDNA,Background,0.9820847511291504,0.9909610748291016,0.9999766945838928,0.982106626033783,0.604938268661499
85,Spectralis-Topcon-noSVDNA,IRF,0.9999947547912598,0.0,0.0,0.0,0.9999947547912598
86,Spectralis-Topcon-noSVDNA,SRD,0.9999711513519287,0.6921119689941406,0.9066666960716248,0.5596708059310913,0.9999966621398926
87,Spectralis-Topcon-noSVDNA,PED,0.9999690055847168,0.0,0.0,0.0,0.9999690055847168
88,Spectralis-Topcon-noSVDNA,Background,0.9988617897033691,0.9994305968284607,1.0,0.9988617897033691,0.0
89,Spectralis-Topcon-noSVDNA,IRF,0.9999918937683105,0.0,0.0,0.0,0.9999918937683105
90,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
91,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
92,Spectralis-Topcon-noSVDNA,Background,0.9999125003814697,0.9999562501907349,1.0,0.9999125003814697,0.0
93,Spectralis-Topcon-noSVDNA,IRF,0.9999158382415771,0.0,0.0,0.0,0.9999158382415771
94,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
95,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
96,Spectralis-Topcon-noSVDNA,Background,0.9999680519104004,0.9999840259552002,1.0,0.9999680519104004,0.0
97,Spectralis-Topcon-noSVDNA,IRF,0.999967098236084,0.0,0.0,0.0,0.999967098236084
98,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
99,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
100,Spectralis-Topcon-noSVDNA,Background,0.9996418952941895,0.99982088804245,1.0,0.9996418952941895,0.0
101,Spectralis-Topcon-noSVDNA,IRF,0.9996554851531982,0.0,0.0,0.0,0.9996554851531982
102,Spectralis-Topcon-noSVDNA,SRD,1.0,0.0,0.0,0.0,1.0
103,Spectralis-Topcon-noSVDNA,PED,1.0,0.0,0.0,0.0,1.0
104,Spectralis-Topcon-noSVDNA,Background,0.9976010322570801,0.9987954497337341,0.9986811280250549,0.9989097714424133,0.6962730288505554
105,Spectralis-Topcon-noSVDNA,IRF,0.9992492198944092,0.6561101078987122,0.5271100401878357,0.8687102198600769,0.9993569254875183
