,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,Spectralis-Topcon,Background,1.0,1.0,1.0,1.0,0.0
1,Spectralis-Topcon,IRF,1.0,0.0,0.0,0.0,1.0
2,Spectralis-Topcon,SRD,1.0,0.0,0.0,0.0,1.0
3,Spectralis-Topcon,PED,1.0,0.0,0.0,0.0,1.0
4,Spectralis-Topcon,Background,1.0,1.0,1.0,1.0,0.0
5,Spectralis-Topcon,IRF,1.0,0.0,0.0,0.0,1.0
6,Spectralis-Topcon,SRD,1.0,0.0,0.0,0.0,1.0
7,Spectralis-Topcon,PED,1.0,0.0,0.0,0.0,1.0
8,Spectralis-Topcon,Background,0.9999434947967529,0.9999717473983765,0.999985933303833,0.9999575614929199,0.7951388955116272
9,Spectralis-Topcon,IRF,0.9999394416809082,0.6381766200065613,0.5410627722740173,0.7777777910232544,0.9999547004699707
10,Spectralis-Topcon,SRD,1.0,0.0,0.0,0.0,1.0
11,Spectralis-Topcon,PED,1.0,0.0,0.0,0.0,1.0
12,Spectralis-Topcon,Background,0.9989855289459229,0.9994922280311584,0.9994040727615356,0.9995803833007812,0.4749789834022522
13,Spectralis-Topcon,IRF,0.9989719390869141,0.5206758379936218,0.5523585081100464,0.4924306273460388,0.9995469450950623
14,Spectralis-Topcon,SRD,1.0,0.0,0.0,0.0,1.0
15,Spectralis-Topcon,PED,1.0,0.0,0.0,0.0,1.0
16,Spectralis-Topcon,Background,0.9977049827575684,0.9988493323326111,0.9991474747657776,0.9985514283180237,0.6507641077041626
17,Spectralis-Topcon,IRF,0.997622013092041,0.5756828188896179,0.5087983012199402,0.6628134846687317,0.998438835144043
18,Spectralis-Topcon,SRD,1.0,0.0,0.0,0.0,1.0
19,Spectralis-Topcon,PED,1.0,0.0,0.0,0.0,1.0
20,Spectralis-Topcon,Background,0.9967098236083984,0.9983479380607605,0.9992254972457886,0.9974719882011414,0.7686470746994019
21,Spectralis-Topcon,IRF,0.9966006278991699,0.6023316979408264,0.4934198558330536,0.7729420065879822,0.9973480701446533
22,Spectralis-Topcon,SRD,1.0,0.0,0.0,0.0,1.0
23,Spectralis-Topcon,PED,1.0,0.0,0.0,0.0,1.0
24,Spectralis-Topcon,Background,0.9952726364135742,0.997618556022644,0.9980469942092896,0.997190535068512,0.7241905927658081
25,Spectralis-Topcon,IRF,0.9951567649841309,0.6782705187797546,0.6358911991119385,0.7267019748687744,0.9970560669898987
26,Spectralis-Topcon,SRD,1.0,0.0,0.0,0.0,1.0
27,Spectralis-Topcon,PED,1.0,0.0,0.0,0.0,1.0
28,Spectralis-Topcon,Background,0.9955987930297852,0.9977643489837646,0.9969006180763245,0.9986295700073242,0.8153226971626282
29,Spectralis-Topcon,IRF,0.9956042766571045,0.860386073589325,0.9059305787086487,0.8192017078399658,0.998569905757904
30,Spectralis-Topcon,SRD,1.0,0.0,0.0,0.0,1.0
31,Spectralis-Topcon,PED,1.0,0.0,0.0,0.0,1.0
32,Spectralis-Topcon,Background,0.9982495307922363,0.9991141557693481,0.998651921749115,0.9995768070220947,0.8929556608200073
33,Spectralis-Topcon,IRF,0.9982430934906006,0.9268200397491455,0.9624419808387756,0.8937408924102783,0.9995603561401367
34,Spectralis-Topcon,SRD,1.0,0.0,0.0,0.0,1.0
35,Spectralis-Topcon,PED,1.0,0.0,0.0,0.0,1.0
36,Spectralis-Topcon,Background,0.9998717308044434,0.9999358654022217,0.9999086856842041,0.9999630451202393,0.7538560628890991
37,Spectralis-Topcon,IRF,0.9998738765716553,0.8201292157173157,0.8707581162452698,0.7750642895698547,0.9999573230743408
38,Spectralis-Topcon,SRD,1.0,0.0,0.0,0.0,1.0
39,Spectralis-Topcon,PED,1.0,0.0,0.0,0.0,1.0
40,Spectralis-Topcon,Background,0.9999916553497314,0.9999958276748657,1.0,0.9999916553497314,0.0
41,Spectralis-Topcon,IRF,0.9999902248382568,0.0,0.0,0.0,0.9999902248382568
42,Spectralis-Topcon,SRD,1.0,0.0,0.0,0.0,1.0
43,Spectralis-Topcon,PED,1.0,0.0,0.0,0.0,1.0
44,Spectralis-Topcon,Background,1.0,1.0,1.0,1.0,0.0
45,Spectralis-Topcon,IRF,1.0,0.0,0.0,0.0,1.0
46,Spectralis-Topcon,SRD,1.0,0.0,0.0,0.0,1.0
47,Spectralis-Topcon,PED,1.0,0.0,0.0,0.0,1.0
48,Spectralis-Topcon,Background,1.0,1.0,1.0,1.0,0.0
