,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,Spectralis,Background,0.9981722831726074,0.9990853071212769,1.0,0.9981722831726074,0.0
1,Spectralis,IRF,0.9999945163726807,0.0,0.0,0.0,0.9999945163726807
2,Spectralis,SRD,0.9987800121307373,0.0,0.0,0.0,0.9987800121307373
3,Spectralis,PED,0.9998445510864258,0.0,0.0,0.0,0.9998445510864258
4,Spectralis,Background,0.9982316493988037,0.9991150498390198,1.0,0.9982316493988037,0.0
5,Spectralis,IRF,0.999997615814209,0.0,0.0,0.0,0.999997615814209
6,Spectralis,SRD,0.9987227916717529,0.0,0.0,0.0,0.9987227916717529
7,Spectralis,PED,0.9998302459716797,0.0,0.0,0.0,0.9998302459716797
8,Spectralis,Background,0.9978103637695312,0.9989039897918701,0.9999481439590454,0.9978619813919067,0.2465277761220932
9,Spectralis,IRF,0.9999139308929443,0.3302411735057831,0.35458168387413025,0.3090277910232544,0.9999613761901855
10,Spectralis,SRD,0.9983212947845459,0.0,0.0,0.0,0.9983212947845459
11,Spectralis,PED,0.9998767375946045,0.0,0.0,0.0,0.9998767375946045
12,Spectralis,Background,0.9985754489898682,0.9992871284484863,0.9990283250808716,0.9995459914207458,0.14360807836055756
13,Spectralis,IRF,0.9988670349121094,0.24234694242477417,0.5013192892074585,0.15979814529418945,0.9998195767402649
14,Spectralis,SRD,0.9998936653137207,0.0,0.0,0.0,0.9998936653137207
15,Spectralis,PED,0.9997930526733398,0.0,0.0,0.0,0.9997930526733398
16,Spectralis,Background,0.9964156150817871,0.9982038140296936,0.9980068206787109,0.998400866985321,0.18269984424114227
17,Spectralis,IRF,0.9978971481323242,0.3294815123081207,0.7355736494064331,0.21228447556495667,0.9998137950897217
18,Spectralis,SRD,0.9988842010498047,0.0,0.0,0.0,0.9988842010498047
19,Spectralis,PED,0.9997296333312988,0.0,0.0,0.0,0.9997296333312988
20,Spectralis,Background,0.9956760406494141,0.9978330135345459,0.996800422668457,0.9988678097724915,0.04058697074651718
