,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,Supervised,Background,0.9999754428863525,0.9999877214431763,1.0,0.9999754428863525,0.0
1,Supervised,IRF,0.9999732971191406,0.0,0.0,0.0,0.9999732971191406
2,Supervised,SRD,1.0,0.0,0.0,0.0,1.0
3,Supervised,PED,1.0,0.0,0.0,0.0,1.0
4,Supervised,Background,0.9999971389770508,0.9999985694885254,1.0,0.9999971389770508,0.0
5,Supervised,IRF,0.9999945163726807,0.0,0.0,0.0,0.9999945163726807
6,Supervised,SRD,1.0,0.0,0.0,0.0,1.0
7,Supervised,PED,1.0,0.0,0.0,0.0,1.0
8,Supervised,Background,0.9999499320983887,0.9999749660491943,0.9999797344207764,0.9999701976776123,0.7048611044883728
9,Supervised,IRF,0.9999358654022217,0.6002971529960632,0.5246753096580505,0.7013888955116272,0.9999563694000244
10,Supervised,SRD,1.0,0.0,0.0,0.0,1.0
11,Supervised,PED,1.0,0.0,0.0,0.0,1.0
12,Supervised,Background,0.9990472793579102,0.9995231628417969,0.9994282126426697,0.9996181130409241,0.4962153136730194
13,Supervised,IRF,0.9990489482879639,0.5463436841964722,0.5949962735176086,0.5050462484359741,0.9996097683906555
14,Supervised,SRD,1.0,0.0,0.0,0.0,1.0
15,Supervised,PED,1.0,0.0,0.0,0.0,1.0
16,Supervised,Background,0.9981145858764648,0.999055027961731,0.9990027546882629,0.9991073608398438,0.591202974319458
17,Supervised,IRF,0.9980642795562744,0.6001083850860596,0.6034670472145081,0.5967868566513062,0.9990432858467102
18,Supervised,SRD,1.0,0.0,0.0,0.0,1.0
19,Supervised,PED,1.0,0.0,0.0,0.0,1.0
20,Supervised,Background,0.9972231388092041,0.9986064434051514,0.9989367127418518,0.9982764720916748,0.6820329427719116
21,Supervised,IRF,0.9972002506256104,0.6181759238243103,0.5663390159606934,0.680458128452301,0.9982587695121765
22,Supervised,SRD,1.0,0.0,0.0,0.0,1.0
23,Supervised,PED,1.0,0.0,0.0,0.0,1.0
24,Supervised,Background,0.9951751232147217,0.9975700378417969,0.9977651834487915,0.997374951839447,0.6842462420463562
