,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,Topcon-Cirrus,Background,0.9999916553497314,0.9999958276748657,1.0,0.9999916553497314,0.0
1,Topcon-Cirrus,IRF,0.9999921321868896,0.0,0.0,0.0,0.9999921321868896
2,Topcon-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
3,Topcon-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
4,Topcon-Cirrus,Background,0.9999997615814209,0.9999998807907104,1.0,0.9999997615814209,0.0
5,Topcon-Cirrus,IRF,1.0,0.0,0.0,0.0,1.0
6,Topcon-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
7,Topcon-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
8,Topcon-Cirrus,Background,0.9999344348907471,0.9999672174453735,0.9999728202819824,0.9999616146087646,0.6041666865348816
9,Topcon-Cirrus,IRF,0.9999332427978516,0.5555555820465088,0.511695921421051,0.6076388955116272,0.99996018409729
10,Topcon-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
11,Topcon-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
12,Topcon-Cirrus,Background,0.9991090297698975,0.9995540976524353,0.999321460723877,0.9997868537902832,0.4020185172557831
13,Topcon-Cirrus,IRF,0.9991040229797363,0.5087581872940063,0.6724256873130798,0.4091673791408539,0.9997737407684326
14,Topcon-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
15,Topcon-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
16,Topcon-Cirrus,Background,0.9979376792907715,0.9989665150642395,0.9987894296646118,0.999143660068512,0.5036246180534363
17,Topcon-Cirrus,IRF,0.9979126453399658,0.5437014698982239,0.5809110403060913,0.5109717845916748,0.9991006255149841
18,Topcon-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
19,Topcon-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
20,Topcon-Cirrus,Background,0.9970436096191406,0.9985161423683167,0.9989955425262451,0.9980372190475464,0.6997136473655701
21,Topcon-Cirrus,IRF,0.9969985485076904,0.6101148724555969,0.5376930832862854,0.7050822973251343,0.9979740977287292
22,Topcon-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
23,Topcon-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
24,Topcon-Cirrus,Background,0.9948527812957764,0.9974069595336914,0.9978702068328857,0.9969441890716553,0.6992465853691101
25,Topcon-Cirrus,IRF,0.9948163032531738,0.6561115980148315,0.6144025325775146,0.7038959860801697,0.9968745708465576
26,Topcon-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
27,Topcon-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
28,Topcon-Cirrus,Background,0.9955904483795166,0.9977590441703796,0.9973567724227905,0.9981616735458374,0.8426486849784851
29,Topcon-Cirrus,IRF,0.9955568313598633,0.8627546429634094,0.8816490769386292,0.8446530699729919,0.9980937838554382
30,Topcon-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
31,Topcon-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
32,Topcon-Cirrus,Background,0.9983155727386475,0.999147355556488,0.9989333748817444,0.9993614554405212,0.9153451323509216
33,Topcon-Cirrus,IRF,0.9983103275299072,0.9309844374656677,0.9470034837722778,0.9154983758926392,0.9993541836738586
34,Topcon-Cirrus,SRD,0.9999990463256836,0.0,0.0,0.0,0.9999990463256836
35,Topcon-Cirrus,PED,1.0,0.0,0.0,0.0,1.0
36,Topcon-Cirrus,Background,0.9998493194580078,0.9999246597290039,0.9998878836631775,0.9999613761901855,0.6979434490203857
37,Topcon-Cirrus,IRF,0.9998512268066406,0.7729257345199585,0.8909395933151245,0.682519257068634,0.9999690055847168
38,Topcon-Cirrus,SRD,1.0,0.0,0.0,0.0,1.0
