,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,Topcon,Background,0.9999611377716064,0.9999805688858032,1.0,0.9999611377716064,0.0
1,Topcon,IRF,0.999962329864502,0.0,0.0,0.0,0.999962329864502
2,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
3,Topcon,PED,1.0,0.0,0.0,0.0,1.0
4,Topcon,Background,0.9999818801879883,0.9999909400939941,1.0,0.9999818801879883,0.0
5,Topcon,IRF,0.9999804496765137,0.0,0.0,0.0,0.9999804496765137
6,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
7,Topcon,PED,1.0,0.0,0.0,0.0,1.0
8,Topcon,Background,0.9999265670776367,0.9999632835388184,0.9999520778656006,0.9999744892120361,0.3020833432674408
9,Topcon,IRF,0.9999253749847412,0.35196688771247864,0.43589743971824646,0.2951388955116272,0.9999737739562988
10,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
11,Topcon,PED,1.0,0.0,0.0,0.0,1.0
12,Topcon,Background,0.9990897178649902,0.9995444416999817,0.9992817044258118,0.9998073577880859,0.36690497398376465
13,Topcon,IRF,0.9991052150726318,0.4977920651435852,0.6845785975456238,0.3910849392414093,0.9997954368591309
14,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
15,Topcon,PED,1.0,0.0,0.0,0.0,1.0
16,Topcon,Background,0.9980041980743408,0.998999834060669,0.9988293051719666,0.9991704225540161,0.5199843049049377
17,Topcon,IRF,0.9980058670043945,0.566182553768158,0.6016314029693604,0.5346786975860596,0.9991362690925598
18,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
19,Topcon,PED,1.0,0.0,0.0,0.0,1.0
20,Topcon,Background,0.9970407485961914,0.9985149502754211,0.9988407492637634,0.998189389705658,0.653328537940979
21,Topcon,IRF,0.996992826461792,0.5943982005119324,0.53961580991745,0.6615604758262634,0.9981138110160828
22,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
23,Topcon,PED,1.0,0.0,0.0,0.0,1.0
24,Topcon,Background,0.9953503608703613,0.9976590275764465,0.9975407123565674,0.9977773427963257,0.6523111462593079
25,Topcon,IRF,0.9953112602233887,0.6633917689323425,0.6692105531692505,0.6576732397079468,0.997700035572052
26,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
27,Topcon,PED,1.0,0.0,0.0,0.0,1.0
28,Topcon,Background,0.9952483177185059,0.9975865483283997,0.9966145753860474,0.9985604882240295,0.7982349991798401
29,Topcon,IRF,0.9952261447906494,0.8469341993331909,0.9012446403503418,0.7987973690032959,0.9985284805297852
30,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
31,Topcon,PED,1.0,0.0,0.0,0.0,1.0
32,Topcon,Background,0.9981155395507812,0.9990463256835938,0.9986221790313721,0.9994707703590393,0.8905998468399048
33,Topcon,IRF,0.9981329441070557,0.922545850276947,0.9538584351539612,0.893223762512207,0.9994553327560425
34,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
35,Topcon,PED,1.0,0.0,0.0,0.0,1.0
36,Topcon,Background,0.9998266696929932,0.9999133348464966,0.9998294711112976,0.9999971389770508,0.5404884219169617
37,Topcon,IRF,0.9998190402984619,0.6806899309158325,0.9853836894035339,0.5199228525161743,0.9999971389770508
38,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
39,Topcon,PED,1.0,0.0,0.0,0.0,1.0
40,Topcon,Background,0.9999978542327881,0.999998927116394,1.0,0.9999978542327881,0.0
41,Topcon,IRF,0.9999985694885254,0.0,0.0,0.0,0.9999985694885254
42,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
43,Topcon,PED,1.0,0.0,0.0,0.0,1.0
44,Topcon,Background,1.0,1.0,1.0,1.0,0.0
45,Topcon,IRF,1.0,0.0,0.0,0.0,1.0
46,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
47,Topcon,PED,1.0,0.0,0.0,0.0,1.0
48,Topcon,Background,1.0,1.0,1.0,1.0,0.0
49,Topcon,IRF,1.0,0.0,0.0,0.0,1.0
50,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
51,Topcon,PED,1.0,0.0,0.0,0.0,1.0
52,Topcon,Background,0.9999022483825684,0.9999511241912842,1.0,0.9999022483825684,0.0
53,Topcon,IRF,0.9998905658721924,0.0,0.0,0.0,0.9998905658721924
54,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
55,Topcon,PED,1.0,0.0,0.0,0.0,1.0
56,Topcon,Background,0.9999980926513672,0.9999990463256836,1.0,0.9999980926513672,0.0
57,Topcon,IRF,1.0,0.0,0.0,0.0,1.0
58,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
59,Topcon,PED,1.0,0.0,0.0,0.0,1.0
60,Topcon,Background,1.0,1.0,1.0,1.0,0.0
61,Topcon,IRF,1.0,0.0,0.0,0.0,1.0
62,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
63,Topcon,PED,1.0,0.0,0.0,0.0,1.0
64,Topcon,Background,0.6356332302093506,0.7772319912910461,1.0,0.6356332302093506,0.0
65,Topcon,IRF,0.9976847171783447,0.0,0.0,0.0,0.9976847171783447
66,Topcon,SRD,1.0,0.0,0.0,0.0,1.0
67,Topcon,PED,1.0,0.0,0.0,0.0,1.0
68,Topcon,Background,0.6172363758087158,0.7633224129676819,0.9997231364250183,0.617341935634613,0.0
69,Topcon,IRF,0.9980118274688721,0.0,0.0,0.0,0.9980118274688721
70,Topcon,SRD,0.9992129802703857,0.0,0.0,0.0,0.9992129802703857
71,Topcon,PED,0.9998290538787842,0.0,0.0,0.0,1.0
72,Topcon,Background,0.6909666061401367,0.8155674338340759,0.9911217093467712,0.6928458213806152,0.556760311126709
73,Topcon,IRF,0.9973678588867188,0.5225739479064941,0.359151154756546,0.9588953852653503,0.9974257349967957
74,Topcon,SRD,0.9995112419128418,0.13720539212226868,0.08077304065227509,0.455307275056839,0.9995576739311218
75,Topcon,PED,0.9937341213226318,0.6620893478393555,0.9710352420806885,0.5022825002670288,0.9998146295547485
76,Topcon,Background,0.6893577575683594,0.8133745193481445,0.9810675978660583,0.6946402192115784,0.4873311221599579
