,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,Untrained,Background,0.299069881439209,0.46043694019317627,1.0,0.299069881439209,0.0
1,Untrained,IRF,0.514136791229248,0.0,0.0,0.0,0.514136791229248
2,Untrained,SRD,0.8126518726348877,0.0,0.0,0.0,0.8126518726348877
3,Untrained,PED,0.7654402256011963,0.0,0.0,0.0,0.7654402256011963
4,Untrained,Background,0.30775880813598633,0.4706660211086273,1.0,0.30775880813598633,0.0
5,Untrained,IRF,0.5366463661193848,0.0,0.0,0.0,0.5366463661193848
6,Untrained,SRD,0.8060572147369385,0.0,0.0,0.0,0.8060572147369385
7,Untrained,PED,0.7652196884155273,0.0,0.0,0.0,0.7652196884155273
8,Untrained,Background,0.331798791885376,0.4982632100582123,0.9998268485069275,0.3318103551864624,0.1631944477558136
9,Untrained,IRF,0.5187146663665771,8.916739716369193e-06,4.459006049728487e-06,0.03125,0.5187481641769409
10,Untrained,SRD,0.8128204345703125,0.0,0.0,0.0,0.8128204345703125
11,Untrained,PED,0.732668399810791,0.0,0.0,0.0,0.732668399810791
12,Untrained,Background,0.33109188079833984,0.4973786771297455,0.9969649314880371,0.3313412368297577,0.11143818497657776
13,Untrained,IRF,0.5302035808563232,1.2179692930658348e-05,6.104580734245246e-06,0.00252312864176929,0.5308026075363159
14,Untrained,SRD,0.7962520122528076,0.0,0.0,0.0,0.7962520122528076
15,Untrained,PED,0.7370223999023438,0.0,0.0,0.0,0.7370223999023438
16,Untrained,Background,0.3584139347076416,0.5275066494941711,0.9939956665039062,0.35901734232902527,0.11108934134244919
17,Untrained,IRF,0.501380443572998,0.0001644590520299971,8.263279596576467e-05,0.01684952899813652,0.5025625824928284
18,Untrained,SRD,0.8023900985717773,0.0,0.0,0.0,0.8023900985717773
19,Untrained,PED,0.7093079090118408,0.0,0.0,0.0,0.7093079090118408
20,Untrained,Background,0.3255174160003662,0.49059411883354187,0.9920563101768494,0.3258727788925171,0.21918396651744843
21,Untrained,IRF,0.466998815536499,0.0013918885961174965,0.0007003144128248096,0.11152469366788864,0.46818676590919495
22,Untrained,SRD,0.7834916114807129,0.0,0.0,0.0,0.7834916114807129
23,Untrained,PED,0.687924861907959,0.0,0.0,0.0,0.687924861907959
24,Untrained,Background,0.3349795341491699,0.5010905265808105,0.982323408126831,0.3363266587257385,0.1445734053850174
