,Model,Task,Dice,Accuracy,F1,Precision,Recall,Specificity
0,cirrus_no_svdna,Background,0.8441638946533203,0.9995794296264648,0.9997896552085876,1.0,0.9995794296264648,0.0
1,cirrus_no_svdna,IRF,1.0,0.9994316101074219,0.0,0.0,0.0,0.9994316101074219
2,cirrus_no_svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
3,cirrus_no_svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
4,cirrus_no_svdna,Background,0.8441042304039001,0.998936653137207,0.9994680285453796,1.0,0.998936653137207,0.0
5,cirrus_no_svdna,IRF,1.0,0.9986963272094727,0.0,0.0,0.0,0.9986963272094727
6,cirrus_no_svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
7,cirrus_no_svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
8,cirrus_no_svdna,Background,0.844219982624054,0.9997014999389648,0.9998507499694824,1.0,0.9997014999389648,0.0
9,cirrus_no_svdna,IRF,1.0,0.9996395111083984,0.0,0.0,0.0,0.9996395111083984
10,cirrus_no_svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
11,cirrus_no_svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
12,cirrus_no_svdna,Background,0.844237744808197,0.9997282028198242,0.9998641014099121,1.0,0.9997282028198242,0.0
13,cirrus_no_svdna,IRF,1.0,0.9996614456176758,0.0,0.0,0.0,0.9996614456176758
14,cirrus_no_svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
15,cirrus_no_svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
16,cirrus_no_svdna,Background,0.8441641926765442,0.9995861053466797,0.9997929930686951,1.0,0.9995861053466797,0.0
17,cirrus_no_svdna,IRF,1.0,0.9995508193969727,0.0,0.0,0.0,0.9995508193969727
18,cirrus_no_svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
19,cirrus_no_svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
20,cirrus_no_svdna,Background,0.8440749645233154,0.9995841979980469,0.9997920393943787,1.0,0.9995841979980469,0.0
21,cirrus_no_svdna,IRF,1.0,0.999567985534668,0.0,0.0,0.0,0.999567985534668
22,cirrus_no_svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
23,cirrus_no_svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
24,cirrus_no_svdna,Background,0.8437929749488831,0.9995107650756836,0.999755322933197,1.0,0.9995107650756836,0.0
25,cirrus_no_svdna,IRF,1.0,0.9995536804199219,0.0,0.0,0.0,0.9995536804199219
26,cirrus_no_svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
27,cirrus_no_svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
28,cirrus_no_svdna,Background,0.8437681198120117,0.9996166229248047,0.9998082518577576,1.0,0.9996166229248047,0.0
