,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,cirrus_no_svdna,Background,1.0,1.0,1.0,1.0,0.0
1,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
2,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
3,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
4,cirrus_no_svdna,Background,1.0,1.0,1.0,1.0,0.0
5,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
6,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
7,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
8,cirrus_no_svdna,Background,0.9999313354492188,0.9999656677246094,0.9999313354492188,1.0,0.0
9,cirrus_no_svdna,IRF,0.9999313354492188,0.0,0.0,0.0,1.0
10,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
11,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
12,cirrus_no_svdna,Background,0.998866081237793,0.9994327425956726,0.998866081237793,1.0,0.0
13,cirrus_no_svdna,IRF,0.998866081237793,0.0,0.0,0.0,1.0
14,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
15,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
16,cirrus_no_svdna,Background,0.9975662231445312,0.9987816214561462,0.9975662231445312,1.0,0.0
17,cirrus_no_svdna,IRF,0.9975662231445312,0.0,0.0,0.0,1.0
18,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
19,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
20,cirrus_no_svdna,Background,0.9966692924499512,0.9983318448066711,0.9966692924499512,1.0,0.0
21,cirrus_no_svdna,IRF,0.9966692924499512,0.0,0.0,0.0,1.0
22,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
23,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
24,cirrus_no_svdna,Background,0.9929747581481934,0.9964749813079834,0.9929747581481934,1.0,0.0
25,cirrus_no_svdna,IRF,0.9929747581481934,0.0,0.0,0.0,1.0
26,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
27,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
28,cirrus_no_svdna,Background,0.9834661483764648,0.9916641712188721,0.9834661483764648,1.0,0.0
29,cirrus_no_svdna,IRF,0.9834661483764648,0.0,0.0,0.0,1.0
30,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
31,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
32,cirrus_no_svdna,Background,0.9875516891479492,0.9937368631362915,0.9875516891479492,1.0,0.0
33,cirrus_no_svdna,IRF,0.9875516891479492,0.0,0.0,0.0,1.0
34,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
35,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
36,cirrus_no_svdna,Background,0.999629020690918,0.9998144507408142,0.999629020690918,1.0,0.0
37,cirrus_no_svdna,IRF,0.999629020690918,0.0,0.0,0.0,1.0
38,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
39,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
40,cirrus_no_svdna,Background,1.0,1.0,1.0,1.0,0.0
41,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
42,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
43,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
44,cirrus_no_svdna,Background,1.0,1.0,1.0,1.0,0.0
45,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
46,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
47,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
48,cirrus_no_svdna,Background,1.0,1.0,1.0,1.0,0.0
49,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
50,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
51,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
52,cirrus_no_svdna,Background,1.0,1.0,1.0,1.0,0.0
53,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
54,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
55,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
56,cirrus_no_svdna,Background,1.0,1.0,1.0,1.0,0.0
57,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
58,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
59,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
60,cirrus_no_svdna,Background,1.0,1.0,1.0,1.0,0.0
61,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
62,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
63,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
64,cirrus_no_svdna,Background,0.9566998481750488,0.9778708219528198,1.0,0.9566998481750488,0.0
65,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
66,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
67,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
68,cirrus_no_svdna,Background,0.9674019813537598,0.9834309220314026,0.9998233318328857,0.9675673842430115,0.0
69,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
70,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
71,cirrus_no_svdna,PED,0.9998290538787842,0.0,0.0,0.0,1.0
72,cirrus_no_svdna,Background,0.9668676853179932,0.9831357598304749,0.9870222210884094,0.9792797565460205,0.08043992519378662
73,cirrus_no_svdna,IRF,0.9990370273590088,0.5473495721817017,0.9313501119613647,0.3875575363636017,0.9999570250511169
74,cirrus_no_svdna,SRD,0.9999210834503174,0.23201856017112732,0.6849315166473389,0.13966479897499084,0.9999945163726807
75,cirrus_no_svdna,PED,0.9885814189910889,0.1234007477760315,0.9988148212432861,0.06576278060674667,0.9999990463256836
76,cirrus_no_svdna,Background,0.9600341320037842,0.9795849919319153,0.9752837419509888,0.983924388885498,0.04636213928461075
77,cirrus_no_svdna,IRF,0.9987101554870605,0.6522689461708069,0.7952978014945984,0.5528437495231628,0.9996879696846008
78,cirrus_no_svdna,SRD,0.999997615814209,0.0,0.0,0.0,0.999997615814209
79,cirrus_no_svdna,PED,0.9767298698425293,0.001963310642167926,1.0,0.000982619938440621,1.0
80,cirrus_no_svdna,Background,0.8900113105773926,0.9418043494224548,0.9896039962768555,0.8984096050262451,0.0015531113604083657
81,cirrus_no_svdna,IRF,0.9996263980865479,0.11218130588531494,0.970588207244873,0.059530969709157944,0.9999992847442627
82,cirrus_no_svdna,SRD,0.9999258518218994,0.0,0.0,0.0,1.0
83,cirrus_no_svdna,PED,0.9911065101623535,0.0,0.0,0.0,1.0
84,cirrus_no_svdna,Background,0.9741191864013672,0.9868899583816528,0.9999405145645142,0.9741756319999695,0.0
85,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
86,cirrus_no_svdna,SRD,0.9944908618927002,0.0,0.0,0.0,0.994548499584198
87,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
88,cirrus_no_svdna,Background,0.9733953475952148,0.9865183234214783,1.0,0.9733953475952148,0.0
89,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
90,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
91,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
92,cirrus_no_svdna,Background,1.0,1.0,1.0,1.0,0.0
93,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
94,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
95,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
96,cirrus_no_svdna,Background,1.0,1.0,1.0,1.0,0.0
97,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
98,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
99,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
100,cirrus_no_svdna,Background,1.0,1.0,1.0,1.0,0.0
101,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
102,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
103,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
104,cirrus_no_svdna,Background,0.9959094524383545,0.99795001745224,0.9959328770637512,0.999975323677063,0.05976403132081032
105,cirrus_no_svdna,IRF,0.9991755485534668,0.0,0.0,0.0,1.0
106,cirrus_no_svdna,SRD,0.9968986511230469,0.24275235831737518,0.8346677422523499,0.14202997088432312,0.9999011754989624
107,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
108,cirrus_no_svdna,Background,0.987558126449585,0.9937399625778198,0.9877405166625977,0.999812662601471,0.0023481466341763735
109,cirrus_no_svdna,IRF,0.993166446685791,0.0,0.0,0.0,1.0
110,cirrus_no_svdna,SRD,0.9942874908447266,0.035970065742731094,0.22507552802562714,0.01954696513712406,0.9996310472488403
111,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
112,cirrus_no_svdna,Background,0.9682011604309082,0.9838436841964722,0.9682011604309082,1.0,0.0
113,cirrus_no_svdna,IRF,0.9801449775695801,0.0005280718323774636,1.0,0.0002641056489665061,1.0
114,cirrus_no_svdna,SRD,0.9880549907684326,0.0,0.0,0.0,0.9999935030937195
115,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
116,cirrus_no_svdna,Background,0.9529578685760498,0.97591233253479,0.952957808971405,1.0,3.54760886693839e-05
117,cirrus_no_svdna,IRF,0.9759392738342285,0.0005941888084635139,1.0,0.00029718270525336266,1.0
118,cirrus_no_svdna,SRD,0.9770290851593018,0.00043573437142185867,1.0,0.00021791465405840427,1.0
119,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
120,cirrus_no_svdna,Background,0.9547934532165527,0.9768739342689514,0.9547933340072632,1.0,5.273705392028205e-05
121,cirrus_no_svdna,IRF,0.973980188369751,0.000640996266156435,1.0,0.00032060089870356023,1.0
122,cirrus_no_svdna,SRD,0.9808192253112793,0.0,0.0,0.0,1.0
123,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
124,cirrus_no_svdna,Background,0.969627857208252,0.9845796823501587,0.9696276783943176,1.0,0.00018836234812624753
125,cirrus_no_svdna,IRF,0.9795017242431641,0.0009760631946846843,1.0,0.0004882698995061219,1.0
126,cirrus_no_svdna,SRD,0.9901304244995117,0.0,0.0,0.0,1.0
127,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
128,cirrus_no_svdna,Background,0.983222246170044,0.9915401339530945,0.983222246170044,1.0,7.104694668669254e-05
129,cirrus_no_svdna,IRF,0.9839363098144531,0.0012155711883679032,0.9318181872367859,0.0006081822793930769,0.9999992847442627
130,cirrus_no_svdna,SRD,0.9992938041687012,0.0,0.0,0.0,1.0
131,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
132,cirrus_no_svdna,Background,0.9958057403564453,0.9978984594345093,0.9958057403564453,1.0,0.0
133,cirrus_no_svdna,IRF,0.9958057403564453,0.0,0.0,0.0,1.0
134,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
135,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
136,cirrus_no_svdna,Background,1.0,1.0,1.0,1.0,0.0
137,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
138,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
139,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
140,cirrus_no_svdna,Background,1.0,1.0,1.0,1.0,0.0
141,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
142,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
143,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
144,cirrus_no_svdna,Background,0.9999942779541016,0.9999971389770508,1.0,0.9999942779541016,0.0
145,cirrus_no_svdna,IRF,0.9999785423278809,0.0,0.0,0.0,0.9999785423278809
146,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
147,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
148,cirrus_no_svdna,Background,1.0,1.0,1.0,1.0,0.0
149,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
150,cirrus_no_svdna,SRD,1.0,0.0,0.0,0.0,1.0
151,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
152,cirrus_no_svdna,Background,0.9963409900665283,0.9981671571731567,0.9963409900665283,1.0,0.0004559072549454868
153,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
154,cirrus_no_svdna,SRD,0.9963634014129639,0.013070203363895416,1.0,0.006578090600669384,1.0
155,cirrus_no_svdna,PED,1.0,0.0,0.0,0.0,1.0
156,cirrus_no_svdna,Background,0.9875140190124512,0.9937176704406738,0.9875142574310303,0.9999995231628418,0.0015633937437087297
157,cirrus_no_svdna,IRF,1.0,0.0,0.0,0.0,1.0
