,Model,Task,Dice,Accuracy,F1,Precision,Recall,Specificity
0,cirrus_only_histmatching,Background,0.8443536758422852,0.9997138977050781,0.9998569488525391,1.0,0.9997138977050781,0.0
1,cirrus_only_histmatching,IRF,1.0,0.9995956420898438,0.0,0.0,0.0,0.9995956420898438
2,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
3,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
4,cirrus_only_histmatching,Background,0.8443535566329956,0.999485969543457,0.9997429251670837,1.0,0.999485969543457,0.0
5,cirrus_only_histmatching,IRF,1.0,0.9991550445556641,0.0,0.0,0.0,0.9991550445556641
6,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
7,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
8,cirrus_only_histmatching,Background,0.8444418907165527,0.9998235702514648,0.9999117851257324,1.0,0.9998235702514648,0.0
9,cirrus_only_histmatching,IRF,1.0,0.9997797012329102,0.0,0.0,0.0,0.9997797012329102
10,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
11,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
12,cirrus_only_histmatching,Background,0.8444358706474304,0.9999065399169922,0.9999532699584961,1.0,0.9999065399169922,0.0
13,cirrus_only_histmatching,IRF,1.0,0.9998741149902344,0.0,0.0,0.0,0.9998741149902344
14,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
15,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
16,cirrus_only_histmatching,Background,0.8443535566329956,0.9997158050537109,0.9998579025268555,1.0,0.9997158050537109,0.0
17,cirrus_only_histmatching,IRF,1.0,0.9996261596679688,0.0,0.0,0.0,0.9996261596679688
18,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
19,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
20,cirrus_only_histmatching,Background,0.8443106412887573,0.9998369216918945,0.9999184608459473,1.0,0.9998369216918945,0.0
21,cirrus_only_histmatching,IRF,1.0,0.9997568130493164,0.0,0.0,0.0,0.9997568130493164
22,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
23,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
24,cirrus_only_histmatching,Background,0.8442153930664062,0.9995918273925781,0.9997958540916443,1.0,0.9995918273925781,0.0
25,cirrus_only_histmatching,IRF,1.0,0.9996452331542969,0.0,0.0,0.0,0.9996452331542969
26,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
27,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
28,cirrus_only_histmatching,Background,0.844232976436615,0.9997968673706055,0.9998984336853027,1.0,0.9997968673706055,0.0
29,cirrus_only_histmatching,IRF,1.0,0.9999151229858398,0.0,0.0,0.0,0.9999151229858398
30,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
31,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
32,cirrus_only_histmatching,Background,0.8443851470947266,0.9999465942382812,0.9999732971191406,1.0,0.9999465942382812,0.0
33,cirrus_only_histmatching,IRF,1.0,0.999995231628418,0.0,0.0,0.0,0.999995231628418
34,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
35,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
36,cirrus_only_histmatching,Background,0.8444288372993469,1.0,1.0,1.0,1.0,0.0
37,cirrus_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
38,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
39,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
40,cirrus_only_histmatching,Background,0.8444768190383911,1.0,1.0,1.0,1.0,0.0
41,cirrus_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
42,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
43,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
44,cirrus_only_histmatching,Background,0.8444830775260925,1.0,1.0,1.0,1.0,0.0
45,cirrus_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
46,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
47,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
48,cirrus_only_histmatching,Background,0.8444721698760986,0.9999828338623047,0.9999914169311523,1.0,0.9999828338623047,0.0
49,cirrus_only_histmatching,IRF,1.0,0.9999675750732422,0.0,0.0,0.0,0.9999675750732422
50,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
51,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
52,cirrus_only_histmatching,Background,0.8444600105285645,1.0,1.0,1.0,1.0,0.0
53,cirrus_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
54,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
55,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
56,cirrus_only_histmatching,Background,0.8444575071334839,0.9999675750732422,0.9999837875366211,1.0,0.9999675750732422,0.0
57,cirrus_only_histmatching,IRF,1.0,0.9999475479125977,0.0,0.0,0.0,0.9999475479125977
58,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
59,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
60,cirrus_only_histmatching,Background,0.8444479703903198,0.9999990463256836,0.9999995231628418,1.0,0.9999990463256836,0.0
61,cirrus_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
62,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
63,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
64,cirrus_only_histmatching,Background,0.8444466590881348,1.0,1.0,1.0,1.0,0.0
65,cirrus_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
66,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
67,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
68,cirrus_only_histmatching,Background,0.8444699645042419,1.0,1.0,1.0,1.0,0.0
69,cirrus_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
70,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
71,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
72,cirrus_only_histmatching,Background,0.8444883823394775,1.0,1.0,1.0,1.0,0.0
73,cirrus_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
74,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
75,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
76,cirrus_only_histmatching,Background,0.8444855213165283,1.0,1.0,1.0,1.0,0.0
77,cirrus_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
78,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
79,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
80,cirrus_only_histmatching,Background,0.8443762063980103,0.9999055862426758,0.9999527931213379,0.9999179840087891,0.9999876022338867,0.7225806713104248
81,cirrus_only_histmatching,IRF,0.00023472309112548828,0.9999074935913086,0.8369747996330261,0.8736842274665833,0.8032258152961731,0.9999656677246094
82,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
83,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
84,cirrus_only_histmatching,Background,0.8442242741584778,0.9995813369750977,0.9997905492782593,0.9997089505195618,0.999872088432312,0.6148989796638489
85,cirrus_only_histmatching,IRF,0.0002790689468383789,0.9995555877685547,0.6974025964736938,0.7179144620895386,0.6780303120613098,0.999798595905304
86,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
87,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
88,cirrus_only_histmatching,Background,0.8433396220207214,0.9987802505493164,0.9993882775306702,0.9992492198944092,0.9995273947715759,0.7618325352668762
89,cirrus_only_histmatching,IRF,0.000377655029296875,0.9987344741821289,0.8014364838600159,0.7906702160835266,0.8125,0.999321699142456
90,cirrus_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
91,cirrus_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
92,cirrus_only_histmatching,Background,0.8423076272010803,0.9981117248535156,0.9990503191947937,0.9990972876548767,0.9990033507347107,0.845585823059082
