,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,cirrus_only_histmatching,Background,0.9996814727783203,0.9998407363891602,1.0,0.9996814727783203,0.0
1,cirrus_only_histmatching,IRF,0.9999911785125732,0.0,0.0,0.0,0.9999911785125732
2,cirrus_only_histmatching,SRD,0.9996306896209717,0.0,0.0,0.0,0.9996306896209717
3,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
4,cirrus_only_histmatching,Background,0.9999523162841797,0.9999761581420898,1.0,0.9999523162841797,0.0
5,cirrus_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
6,cirrus_only_histmatching,SRD,0.9999399185180664,0.0,0.0,0.0,0.9999399185180664
7,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
8,cirrus_only_histmatching,Background,0.9999499320983887,0.9999749660491943,0.9999525547027588,0.9999973773956299,0.3090277910232544
9,cirrus_only_histmatching,IRF,0.9999485015869141,0.47058823704719543,0.800000011920929,0.3333333432674408,0.9999942779541016
10,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
11,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
12,cirrus_only_histmatching,Background,0.9976730346679688,0.9988349676132202,0.9990250468254089,0.9986449480056763,0.14150546491146088
13,cirrus_only_histmatching,IRF,0.9990208148956299,0.27833420038223267,0.8470588326454163,0.16652649641036987,0.9999658465385437
14,cirrus_only_histmatching,SRD,0.9986886978149414,0.0,0.0,0.0,0.9986886978149414
15,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
16,cirrus_only_histmatching,Background,0.998114824295044,0.9990559220314026,0.9982169270515442,0.9998962879180908,0.2679271101951599
17,cirrus_only_histmatching,IRF,0.9982385635375977,0.48147109150886536,0.8490098714828491,0.33601096272468567,0.9998542070388794
18,cirrus_only_histmatching,SRD,0.9999513626098633,0.0,0.0,0.0,0.9999513626098633
19,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
20,cirrus_only_histmatching,Background,0.9972610473632812,0.9986274838447571,0.9975069761276245,0.9997504949569702,0.2523263990879059
21,cirrus_only_histmatching,IRF,0.9972860813140869,0.419145792722702,0.7298738360404968,0.29398712515830994,0.9996364116668701
22,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
23,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
24,cirrus_only_histmatching,Background,0.9946029186248779,0.9972891211509705,0.9948084950447083,0.9997822046279907,0.2625398635864258
25,cirrus_only_histmatching,IRF,0.994898796081543,0.4726412296295166,0.8633171319961548,0.3253919780254364,0.9996355175971985
26,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
27,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
28,cirrus_only_histmatching,Background,0.9928131103515625,0.9963588118553162,0.992917537689209,0.9998239874839783,0.5757916569709778
29,cirrus_only_histmatching,IRF,0.9937262535095215,0.7711189389228821,0.9716571569442749,0.639196515083313,0.9996865391731262
30,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
31,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
32,cirrus_only_histmatching,Background,0.9962553977966309,0.9981074929237366,0.996320903301239,0.9999005198478699,0.7070788145065308
33,cirrus_only_histmatching,IRF,0.9968185424804688,0.8552209138870239,0.9863850474357605,0.7548456192016602,0.9998686909675598
34,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
35,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
36,cirrus_only_histmatching,Background,0.999629020690918,0.9998144507408142,0.999629020690918,1.0,0.0
37,cirrus_only_histmatching,IRF,0.999629020690918,0.0,0.0,0.0,1.0
38,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
39,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
40,cirrus_only_histmatching,Background,0.999971866607666,0.999985933303833,1.0,0.999971866607666,0.0
41,cirrus_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
42,cirrus_only_histmatching,SRD,0.9999449253082275,0.0,0.0,0.0,0.9999449253082275
43,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
44,cirrus_only_histmatching,Background,1.0,1.0,1.0,1.0,0.0
45,cirrus_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
46,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
47,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
48,cirrus_only_histmatching,Background,1.0,1.0,1.0,1.0,0.0
49,cirrus_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
50,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
51,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
52,cirrus_only_histmatching,Background,0.999943733215332,0.999971866607666,1.0,0.999943733215332,0.0
53,cirrus_only_histmatching,IRF,0.9999279975891113,0.0,0.0,0.0,0.9999279975891113
54,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
55,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
56,cirrus_only_histmatching,Background,0.9999997615814209,0.9999998807907104,1.0,0.9999997615814209,0.0
57,cirrus_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
58,cirrus_only_histmatching,SRD,0.9999949932098389,0.0,0.0,0.0,0.9999949932098389
59,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
60,cirrus_only_histmatching,Background,1.0,1.0,1.0,1.0,0.0
61,cirrus_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
62,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
63,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
64,cirrus_only_histmatching,Background,0.9981544017791748,0.9990763664245605,1.0,0.9981544017791748,0.0
65,cirrus_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
66,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
67,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
68,cirrus_only_histmatching,Background,0.997117280960083,0.9985565543174744,0.999828577041626,0.9972877502441406,0.0
69,cirrus_only_histmatching,IRF,0.9998557567596436,0.0,0.0,0.0,0.9998557567596436
70,cirrus_only_histmatching,SRD,0.999748945236206,0.0,0.0,0.0,0.999748945236206
71,cirrus_only_histmatching,PED,0.9998290538787842,0.0,0.0,0.0,1.0
72,cirrus_only_histmatching,Background,0.9797940254211426,0.989753007888794,0.9900007843971252,0.9895053505897522,0.28624457120895386
73,cirrus_only_histmatching,IRF,0.9987349510192871,0.6597409248352051,0.5535349249839783,0.8163783550262451,0.9990093111991882
74,cirrus_only_histmatching,SRD,0.9997313022613525,0.0,0.0,0.0,0.9998166561126709
75,cirrus_only_histmatching,PED,0.9903197288513184,0.3446427881717682,0.9983168244361877,0.2082715630531311,0.9999956488609314
76,cirrus_only_histmatching,Background,0.9786860942840576,0.9891706705093384,0.9796522259712219,0.9988757967948914,0.20653842389583588
77,cirrus_only_histmatching,IRF,0.9986419677734375,0.731346070766449,0.6447937488555908,0.8447374105453491,0.9989795088768005
78,cirrus_only_histmatching,SRD,0.9996051788330078,0.0,0.0,0.0,0.9996051788330078
79,cirrus_only_histmatching,PED,0.9794378280639648,0.2162771224975586,0.9638749361038208,0.12180392444133759,0.9998911023139954
80,cirrus_only_histmatching,Background,0.9841625690460205,0.9920077919960022,0.9918403625488281,0.992175281047821,0.13649557530879974
81,cirrus_only_histmatching,IRF,0.9996330738067627,0.6174496412277222,0.5262711644172668,0.7468430399894714,0.9997333288192749
82,cirrus_only_histmatching,SRD,0.9999258518218994,0.0,0.0,0.0,1.0
83,cirrus_only_histmatching,PED,0.9920089244842529,0.18467974662780762,0.9971106052398682,0.10176397860050201,0.9999973773956299
84,cirrus_only_histmatching,Background,0.9951136112213135,0.9975508451461792,0.9999417662620544,0.9951712489128113,0.0
85,cirrus_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
86,cirrus_only_histmatching,SRD,0.9999420642852783,0.0,0.0,0.0,1.0
87,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
88,cirrus_only_histmatching,Background,0.984403133392334,0.9921402931213379,1.0,0.984403133392334,0.0
89,cirrus_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
90,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
91,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
92,cirrus_only_histmatching,Background,1.0,1.0,1.0,1.0,0.0
93,cirrus_only_histmatching,IRF,0.9999966621398926,0.0,0.0,0.0,0.9999966621398926
94,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
95,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
96,cirrus_only_histmatching,Background,1.0,1.0,1.0,1.0,0.0
97,cirrus_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
98,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
99,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
100,cirrus_only_histmatching,Background,0.9999721050262451,0.9999860525131226,1.0,0.9999721050262451,0.0
101,cirrus_only_histmatching,IRF,0.9999632835388184,0.0,0.0,0.0,0.9999632835388184
102,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
103,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
104,cirrus_only_histmatching,Background,0.9978282451629639,0.9989098906517029,0.9984604716300964,0.9993597269058228,0.6452199816703796
105,cirrus_only_histmatching,IRF,0.9996833801269531,0.8173314929008484,0.7793809175491333,0.8591671586036682,0.9997993111610413
106,cirrus_only_histmatching,SRD,0.99826979637146,0.7323029041290283,0.7986161112785339,0.6761580109596252,0.9994011521339417
107,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
108,cirrus_only_histmatching,Background,0.994636058807373,0.9972894191741943,0.9955568909645081,0.9990279674530029,0.6415486335754395
109,cirrus_only_histmatching,IRF,0.9973649978637695,0.795998215675354,0.8451046347618103,0.7522852420806885,0.9990512728691101
110,cirrus_only_histmatching,SRD,0.9974451065063477,0.7201796770095825,0.8938294053077698,0.6030260920524597,0.9996073246002197
111,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
112,cirrus_only_histmatching,Background,0.9874439239501953,0.9935426115989685,0.9894434809684753,0.997675895690918,0.675903856754303
113,cirrus_only_histmatching,IRF,0.9916868209838867,0.7748737931251526,0.8382973670959473,0.7203721404075623,0.9971843957901001
114,cirrus_only_histmatching,SRD,0.9964983463287354,0.8330624103546143,0.9667853713035583,0.7318368554115295,0.9996961951255798
115,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
116,cirrus_only_histmatching,Background,0.9838292598724365,0.9915643334388733,0.98588627576828,0.9973081946372986,0.7107887864112854
117,cirrus_only_histmatching,IRF,0.9909014701843262,0.8002700805664062,0.8483466506004333,0.7573503255844116,0.9966611862182617
118,cirrus_only_histmatching,SRD,0.9936800003051758,0.8421598076820374,0.9880263805389404,0.7338224053382874,0.9997908473014832
119,cirrus_only_histmatching,PED,0.999983549118042,0.0,0.0,0.0,0.999983549118042
120,cirrus_only_histmatching,Background,0.9761855602264404,0.9876525402069092,0.9779614806175232,0.9975376129150391,0.5252399444580078
121,cirrus_only_histmatching,IRF,0.9897055625915527,0.7833908796310425,0.8659472465515137,0.7152056694030762,0.9970412254333496
122,cirrus_only_histmatching,SRD,0.9863133430480957,0.449194997549057,0.984687864780426,0.2909633219242096,0.9999115467071533
123,cirrus_only_histmatching,PED,0.9994161128997803,0.0,0.0,0.0,0.9994161128997803
124,cirrus_only_histmatching,Background,0.9784433841705322,0.9889882206916809,0.9798036217689514,0.9983466267585754,0.34315696358680725
125,cirrus_only_histmatching,IRF,0.9887514114379883,0.6675451397895813,0.8474130630493164,0.5506638288497925,0.9979239702224731
126,cirrus_only_histmatching,SRD,0.9902453422546387,0.023345746099948883,0.9858871102333069,0.011812735348939896,0.9999983310699463
127,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
128,cirrus_only_histmatching,Background,0.9898743629455566,0.9948707818984985,0.9910218119621277,0.9987497329711914,0.46979084610939026
129,cirrus_only_histmatching,IRF,0.9910826683044434,0.6637357473373413,0.8424932956695557,0.5475568771362305,0.9983277916908264
130,cirrus_only_histmatching,SRD,0.9992938041687012,0.0,0.0,0.0,1.0
131,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
132,cirrus_only_histmatching,Background,0.996863603591919,0.9984272718429565,0.9971004128456116,0.999757707118988,0.30974307656288147
133,cirrus_only_histmatching,IRF,0.9969475269317627,0.49845263361930847,0.8017643094062805,0.36164164543151855,0.9996233582496643
134,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
135,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
136,cirrus_only_histmatching,Background,1.0,1.0,1.0,1.0,0.0
137,cirrus_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
138,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
139,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
140,cirrus_only_histmatching,Background,1.0,1.0,1.0,1.0,0.0
141,cirrus_only_histmatching,IRF,1.0,0.0,0.0,0.0,1.0
142,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
143,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
144,cirrus_only_histmatching,Background,0.999741792678833,0.9998708963394165,1.0,0.999741792678833,0.0
145,cirrus_only_histmatching,IRF,0.9997069835662842,0.0,0.0,0.0,0.9997069835662842
146,cirrus_only_histmatching,SRD,0.9999914169311523,0.0,0.0,0.0,0.9999914169311523
147,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
148,cirrus_only_histmatching,Background,0.999781608581543,0.9998908042907715,1.0,0.999781608581543,0.0
149,cirrus_only_histmatching,IRF,0.9996681213378906,0.0,0.0,0.0,0.9996681213378906
150,cirrus_only_histmatching,SRD,1.0,0.0,0.0,0.0,1.0
151,cirrus_only_histmatching,PED,1.0,0.0,0.0,0.0,1.0
