,Model,Task,Dice,Accuracy,F1,Precision,Recall,Specificity
0,cirrus_svdna_no_Histmatching,Background,0.844089150428772,0.9996404647827148,0.9998201727867126,1.0,0.9996404647827148,0.0
1,cirrus_svdna_no_Histmatching,IRF,1.0,0.9995536804199219,0.0,0.0,0.0,0.9995536804199219
2,cirrus_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
3,cirrus_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
4,cirrus_svdna_no_Histmatching,Background,0.8442815542221069,0.9997463226318359,0.999873161315918,1.0,0.9997463226318359,0.0
5,cirrus_svdna_no_Histmatching,IRF,1.0,0.999455451965332,0.0,0.0,0.0,0.999455451965332
6,cirrus_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
7,cirrus_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
8,cirrus_svdna_no_Histmatching,Background,0.8443365693092346,0.9997472763061523,0.9998736381530762,1.0,0.9997472763061523,0.0
9,cirrus_svdna_no_Histmatching,IRF,1.0,0.9996652603149414,0.0,0.0,0.0,0.9996652603149414
10,cirrus_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
11,cirrus_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
12,cirrus_svdna_no_Histmatching,Background,0.8442168235778809,0.9996404647827148,0.9998201727867126,1.0,0.9996404647827148,0.0
13,cirrus_svdna_no_Histmatching,IRF,1.0,0.9995574951171875,0.0,0.0,0.0,0.9995574951171875
14,cirrus_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
15,cirrus_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
16,cirrus_svdna_no_Histmatching,Background,0.8439053297042847,0.9994392395019531,0.9997195601463318,1.0,0.9994392395019531,0.0
17,cirrus_svdna_no_Histmatching,IRF,1.0,0.9994602203369141,0.0,0.0,0.0,0.9994602203369141
18,cirrus_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
19,cirrus_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
20,cirrus_svdna_no_Histmatching,Background,0.8437258005142212,0.9993705749511719,0.9996851682662964,1.0,0.9993705749511719,0.0
21,cirrus_svdna_no_Histmatching,IRF,1.0,0.9995956420898438,0.0,0.0,0.0,0.9995956420898438
22,cirrus_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
