,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,source_cirrus,Background,0.9998612403869629,0.9999306201934814,1.0,0.9998612403869629,0.0
1,source_cirrus,IRF,1.0,0.0,0.0,0.0,1.0
2,source_cirrus,SRD,0.9997813701629639,0.0,0.0,0.0,0.9997813701629639
3,source_cirrus,PED,1.0,0.0,0.0,0.0,1.0
4,source_cirrus,Background,1.0,1.0,1.0,1.0,0.0
5,source_cirrus,IRF,1.0,0.0,0.0,0.0,1.0
6,source_cirrus,SRD,0.999995231628418,0.0,0.0,0.0,0.999995231628418
7,source_cirrus,PED,1.0,0.0,0.0,0.0,1.0
8,source_cirrus,Background,0.9999091625213623,0.9999545812606812,0.9999547004699707,0.9999544620513916,0.3402777910232544
9,source_cirrus,IRF,0.9998831748962402,0.2857142984867096,0.24623115360736847,0.3402777910232544,0.9999284744262695
10,source_cirrus,SRD,1.0,0.0,0.0,0.0,1.0
11,source_cirrus,PED,1.0,0.0,0.0,0.0,1.0
12,source_cirrus,Background,0.9987082481384277,0.9993535876274109,0.9990272521972656,0.9996801614761353,0.14255677163600922
13,source_cirrus,IRF,0.9990246295928955,0.28541484475135803,0.843137264251709,0.17178301513195038,0.9999637007713318
14,source_cirrus,SRD,0.9995663166046143,0.0,0.0,0.0,0.9995663166046143
15,source_cirrus,PED,1.0,0.0,0.0,0.0,1.0
16,source_cirrus,Background,0.9980323314666748,0.999014675617218,0.99810391664505,0.9999271035194397,0.22139498591423035
17,source_cirrus,IRF,0.9981305599212646,0.44036829471588135,0.8112016916275024,0.3022139370441437,0.9998283982276917
18,source_cirrus,SRD,1.0,0.0,0.0,0.0,1.0
19,source_cirrus,PED,1.0,0.0,0.0,0.0,1.0
20,source_cirrus,Background,0.9972403049468994,0.9986171722412109,0.9974430799484253,0.9997940063476562,0.23307086527347565
21,source_cirrus,IRF,0.99729323387146,0.428664892911911,0.7217420935630798,0.30486756563186646,0.9996072053909302
22,source_cirrus,SRD,1.0,0.0,0.0,0.0,1.0
23,source_cirrus,PED,1.0,0.0,0.0,0.0,1.0
24,source_cirrus,Background,0.9945449829101562,0.9972599744796753,0.9948078989982605,0.9997240900993347,0.2625059485435486
25,source_cirrus,IRF,0.9949324131011963,0.49071523547172546,0.8346238732337952,0.347519189119339,0.9995128512382507
26,source_cirrus,SRD,1.0,0.0,0.0,0.0,1.0
27,source_cirrus,PED,1.0,0.0,0.0,0.0,1.0
28,source_cirrus,Background,0.9938547611236572,0.9968845248222351,0.9940833449363708,0.9997015595436096,0.6460748910903931
29,source_cirrus,IRF,0.9944875240325928,0.8060009479522705,0.963819146156311,0.6925938725471497,0.9995629191398621
30,source_cirrus,SRD,1.0,0.0,0.0,0.0,1.0
31,source_cirrus,PED,1.0,0.0,0.0,0.0,1.0
32,source_cirrus,Background,0.997650146484375,0.9988114237785339,0.997826874256134,0.9997979402542114,0.8272619247436523
