,Model,Task,Dice,Accuracy,F1,Precision,Recall,Specificity
0,source_cirrus,Background,0.8441693782806396,0.9998455047607422,0.9999227523803711,1.0,0.9998455047607422,0.0
1,source_cirrus,IRF,1.0,0.9999265670776367,0.0,0.0,0.0,0.9999265670776367
2,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
3,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
4,source_cirrus,Background,0.8443386554718018,0.9999942779541016,0.9999971389770508,1.0,0.9999942779541016,0.0
5,source_cirrus,IRF,1.0,0.9999094009399414,0.0,0.0,0.0,0.9999094009399414
6,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
7,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
8,source_cirrus,Background,0.844346284866333,0.9999151229858398,0.9999575614929199,1.0,0.9999151229858398,0.0
9,source_cirrus,IRF,1.0,0.9998569488525391,0.0,0.0,0.0,0.9998569488525391
10,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
11,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
12,source_cirrus,Background,0.8442897796630859,0.9999256134033203,0.9999628067016602,1.0,0.9999256134033203,0.0
13,source_cirrus,IRF,1.0,0.9999313354492188,0.0,0.0,0.0,0.9999313354492188
14,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
15,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
16,source_cirrus,Background,0.8439995050430298,0.9997625350952148,0.9998812675476074,1.0,0.9997625350952148,0.0
17,source_cirrus,IRF,1.0,0.9998712539672852,0.0,0.0,0.0,0.9998712539672852
18,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
19,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
20,source_cirrus,Background,0.8439589738845825,0.9997177124023438,0.9998588562011719,1.0,0.9997177124023438,0.0
21,source_cirrus,IRF,1.0,1.0,0.0,0.0,0.0,1.0
22,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
23,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
24,source_cirrus,Background,0.8434311151504517,0.9992122650146484,0.9996059536933899,1.0,0.9992122650146484,0.0
25,source_cirrus,IRF,1.0,0.9998188018798828,0.0,0.0,0.0,0.9998188018798828
26,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
27,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
28,source_cirrus,Background,0.843369722366333,0.9992132186889648,0.9996064305305481,1.0,0.9992132186889648,0.0
29,source_cirrus,IRF,1.0,0.9998846054077148,0.0,0.0,0.0,0.9998846054077148
30,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
31,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
32,source_cirrus,Background,0.8440122604370117,0.9997711181640625,0.9998855590820312,1.0,0.9997711181640625,0.0
33,source_cirrus,IRF,1.0,1.0,0.0,0.0,0.0,1.0
34,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
35,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
36,source_cirrus,Background,0.8443562984466553,1.0,1.0,1.0,1.0,0.0
37,source_cirrus,IRF,1.0,1.0,0.0,0.0,0.0,1.0
38,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
39,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
40,source_cirrus,Background,0.8443796038627625,1.0,1.0,1.0,1.0,0.0
41,source_cirrus,IRF,1.0,1.0,0.0,0.0,0.0,1.0
42,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
43,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
44,source_cirrus,Background,0.8443929553031921,1.0,1.0,1.0,1.0,0.0
45,source_cirrus,IRF,1.0,1.0,0.0,0.0,0.0,1.0
46,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
47,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
48,source_cirrus,Background,0.8443838953971863,0.9999866485595703,0.9999933242797852,1.0,0.9999866485595703,0.0
49,source_cirrus,IRF,1.0,0.999969482421875,0.0,0.0,0.0,0.999969482421875
50,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
51,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
52,source_cirrus,Background,0.8443658947944641,1.0,1.0,1.0,1.0,0.0
53,source_cirrus,IRF,1.0,1.0,0.0,0.0,0.0,1.0
54,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
55,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
56,source_cirrus,Background,0.8443547487258911,1.0,1.0,1.0,1.0,0.0
57,source_cirrus,IRF,1.0,0.9999551773071289,0.0,0.0,0.0,0.9999551773071289
58,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
59,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
60,source_cirrus,Background,0.8443483114242554,0.9999980926513672,0.9999990463256836,1.0,0.9999980926513672,0.0
61,source_cirrus,IRF,1.0,1.0,0.0,0.0,0.0,1.0
62,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
63,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
64,source_cirrus,Background,0.8443374633789062,1.0,1.0,1.0,1.0,0.0
65,source_cirrus,IRF,1.0,1.0,0.0,0.0,0.0,1.0
66,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
67,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
68,source_cirrus,Background,0.844351053237915,1.0,1.0,1.0,1.0,0.0
69,source_cirrus,IRF,1.0,1.0,0.0,0.0,0.0,1.0
70,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
71,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
72,source_cirrus,Background,0.8443619012832642,1.0,1.0,1.0,1.0,0.0
73,source_cirrus,IRF,1.0,1.0,0.0,0.0,0.0,1.0
74,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
75,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
76,source_cirrus,Background,0.8443325161933899,1.0,1.0,1.0,1.0,0.0
77,source_cirrus,IRF,1.0,1.0,0.0,0.0,0.0,1.0
78,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
79,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
80,source_cirrus,Background,0.8442310094833374,0.9998130798339844,0.9999065399169922,0.9998197555541992,0.9999933242797852,0.39032256603240967
81,source_cirrus,IRF,0.0002021193504333496,0.9997959136962891,0.5541666746139526,0.7823529243469238,0.42903226613998413,0.999964714050293
82,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
83,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
84,source_cirrus,Background,0.8440665006637573,0.9996423721313477,0.9998210668563843,0.9996994137763977,0.9999427199363708,0.6022727489471436
85,source_cirrus,IRF,0.00028336048126220703,0.9996356964111328,0.7387140989303589,0.8059701323509216,0.6818181872367859,0.9998759031295776
86,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
87,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
88,source_cirrus,Background,0.843187689781189,0.9988641738891602,0.9994304180145264,0.9992416501045227,0.9996192455291748,0.7594053149223328
89,source_cirrus,IRF,0.0003644227981567383,0.9988298416137695,0.8149042129516602,0.8103810548782349,0.8194781541824341,0.9993953704833984
90,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
91,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
92,source_cirrus,Background,0.8421236276626587,0.9980173110961914,0.9990029335021973,0.9989038109779358,0.9991021156311035,0.8124384880065918
93,source_cirrus,IRF,0.00022685527801513672,0.997767448425293,0.817750096321106,0.7779588103294373,0.8618313074111938,0.9985620975494385
94,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
95,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
96,source_cirrus,Background,0.8417948484420776,0.9974756240844727,0.9987297058105469,0.9988269805908203,0.9986323714256287,0.8152403831481934
97,source_cirrus,IRF,0.0003790855407714844,0.997279167175293,0.8029832243919373,0.739036500453949,0.8790444731712341,0.9980296492576599
98,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
99,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
100,source_cirrus,Background,0.8404199481010437,0.9977493286132812,0.9988637566566467,0.9989060759544373,0.9988214373588562,0.886897623538971
101,source_cirrus,IRF,0.00030791759490966797,0.9973955154418945,0.8712338805198669,0.8274966478347778,0.9198526740074158,0.9981454610824585
102,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
103,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
104,source_cirrus,Background,0.839024543762207,0.9962491989135742,0.9981002807617188,0.9982473850250244,0.9979532957077026,0.8631975650787354
105,source_cirrus,IRF,0.0003846883773803711,0.9958286285400391,0.8469237685203552,0.7901266813278198,0.9125188589096069,0.9968956112861633
106,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
107,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
108,source_cirrus,Background,0.8390366435050964,0.9961652755737305,0.9980568885803223,0.99802166223526,0.9980921149253845,0.8531352877616882
109,source_cirrus,IRF,0.0003510713577270508,0.995976448059082,0.8559232354164124,0.8166829347610474,0.8991246819496155,0.9972811937332153
110,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
111,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
112,source_cirrus,Background,0.8390359282493591,0.9958953857421875,0.9979193210601807,0.9985169172286987,0.9973224401473999,0.8879222273826599
113,source_cirrus,IRF,0.00018036365509033203,0.9953765869140625,0.8384538292884827,0.770328164100647,0.9197981953620911,0.9963755011558533
114,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
115,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
116,source_cirrus,Background,0.834944486618042,0.9957256317138672,0.9978150725364685,0.9982618093490601,0.9973687529563904,0.9206377267837524
117,source_cirrus,IRF,0.0004870891571044922,0.9953699111938477,0.8972421288490295,0.8549187183380127,0.9439743757247925,0.9964945912361145
118,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
119,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
120,source_cirrus,Background,0.8332951664924622,0.9958343505859375,0.9978631734848022,0.9981649518013,0.9975616335868835,0.9283749461174011
121,source_cirrus,IRF,0.00022357702255249023,0.9956436157226562,0.9158716797828674,0.8842461109161377,0.9498434066772461,0.9968163371086121
122,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
123,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
124,source_cirrus,Background,0.8367606401443481,0.9960355758666992,0.9979810118675232,0.9978312849998474,0.9981307983398438,0.8839758634567261
125,source_cirrus,IRF,0.00031697750091552734,0.9957847595214844,0.8880956172943115,0.866037905216217,0.9113062620162964,0.9973642826080322
126,source_cirrus,SRD,1.0,1.0,0.0,0.0,0.0,1.0
127,source_cirrus,PED,1.0,1.0,0.0,0.0,0.0,1.0
128,source_cirrus,Background,0.8350969552993774,0.9961233139038086,0.9980176687240601,0.997707724571228,0.9983277916908264,0.9003221988677979
129,source_cirrus,IRF,0.0008504390716552734,0.9961738586425781,0.9162036776542664,0.9028898477554321,0.9299160242080688,0.9976984858512878
