,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,source_spectralis_topcon,Background,1.0,1.0,1.0,1.0,0.0
1,source_spectralis_topcon,IRF,1.0,0.0,0.0,0.0,1.0
2,source_spectralis_topcon,SRD,1.0,0.0,0.0,0.0,1.0
3,source_spectralis_topcon,PED,1.0,0.0,0.0,0.0,1.0
4,source_spectralis_topcon,Background,1.0,1.0,1.0,1.0,0.0
5,source_spectralis_topcon,IRF,1.0,0.0,0.0,0.0,1.0
6,source_spectralis_topcon,SRD,1.0,0.0,0.0,0.0,1.0
7,source_spectralis_topcon,PED,1.0,0.0,0.0,0.0,1.0
8,source_spectralis_topcon,Background,0.9999566078186035,0.9999783039093018,0.9999642372131348,0.9999923706054688,0.4791666567325592
9,source_spectralis_topcon,IRF,0.9999408721923828,0.5824915766716003,0.5653594732284546,0.6006944179534912,0.9999682903289795
10,source_spectralis_topcon,SRD,1.0,0.0,0.0,0.0,1.0
11,source_spectralis_topcon,PED,1.0,0.0,0.0,0.0,1.0
12,source_spectralis_topcon,Background,0.9990184307098389,0.999508798122406,0.9991889595985413,0.9998288750648499,0.28511354327201843
13,source_spectralis_topcon,IRF,0.998999834060669,0.4756905436515808,0.5864406824111938,0.4001261591911316,0.999679684638977
14,source_spectralis_topcon,SRD,1.0,0.0,0.0,0.0,1.0
15,source_spectralis_topcon,PED,1.0,0.0,0.0,0.0,1.0
16,source_spectralis_topcon,Background,0.9981508255004883,0.9990734457969666,0.9987796545028687,0.999367356300354,0.4995101988315582
17,source_spectralis_topcon,IRF,0.9980461597442627,0.6160693168640137,0.5903744101524353,0.6441026926040649,0.9989096522331238
18,source_spectralis_topcon,SRD,1.0,0.0,0.0,0.0,1.0
19,source_spectralis_topcon,PED,1.0,0.0,0.0,0.0,1.0
20,source_spectralis_topcon,Background,0.9972562789916992,0.9986235499382019,0.9986111521720886,0.99863600730896,0.5843951106071472
21,source_spectralis_topcon,IRF,0.9970071315765381,0.6049907207489014,0.539783239364624,0.6881173849105835,0.9980393648147583
22,source_spectralis_topcon,SRD,1.0,0.0,0.0,0.0,1.0
23,source_spectralis_topcon,PED,1.0,0.0,0.0,0.0,1.0
24,source_spectralis_topcon,Background,0.9954912662506104,0.9977315068244934,0.9969334602355957,0.9985308051109314,0.5658725500106812
25,source_spectralis_topcon,IRF,0.9954469203948975,0.6662122011184692,0.686849057674408,0.6467793583869934,0.9979137182235718
26,source_spectralis_topcon,SRD,1.0,0.0,0.0,0.0,1.0
27,source_spectralis_topcon,PED,1.0,0.0,0.0,0.0,1.0
28,source_spectralis_topcon,Background,0.9950399398803711,0.997482419013977,0.9958504438400269,0.999119758605957,0.7523648738861084
29,source_spectralis_topcon,IRF,0.9953572750091553,0.8489704132080078,0.9185057282447815,0.7892224788665771,0.9988227486610413
30,source_spectralis_topcon,SRD,1.0,0.0,0.0,0.0,1.0
31,source_spectralis_topcon,PED,1.0,0.0,0.0,0.0,1.0
32,source_spectralis_topcon,Background,0.9978799819946289,0.9989273548126221,0.998257577419281,0.9995980262756348,0.8615835309028625
