,Model,Task,Dice,Accuracy,F1,Precision,Recall,Specificity
0,source_spectralis_topcon,Background,0.8440355062484741,0.9999990463256836,0.9999995231628418,1.0,0.9999990463256836,0.0
1,source_spectralis_topcon,IRF,1.0,1.0,0.0,0.0,0.0,1.0
2,source_spectralis_topcon,SRD,1.0,1.0,0.0,0.0,0.0,1.0
3,source_spectralis_topcon,PED,1.0,1.0,0.0,0.0,0.0,1.0
4,source_spectralis_topcon,Background,0.8441877365112305,0.999995231628418,0.999997615814209,1.0,0.999995231628418,0.0
5,source_spectralis_topcon,IRF,1.0,0.9999856948852539,0.0,0.0,0.0,0.9999856948852539
6,source_spectralis_topcon,SRD,1.0,1.0,0.0,0.0,0.0,1.0
7,source_spectralis_topcon,PED,1.0,1.0,0.0,0.0,0.0,1.0
8,source_spectralis_topcon,Background,0.8442312479019165,0.9999055862426758,0.9999527931213379,1.0,0.9999055862426758,0.0
9,source_spectralis_topcon,IRF,1.0,0.9998865127563477,0.0,0.0,0.0,0.9998865127563477
10,source_spectralis_topcon,SRD,1.0,1.0,0.0,0.0,0.0,1.0
11,source_spectralis_topcon,PED,1.0,1.0,0.0,0.0,0.0,1.0
12,source_spectralis_topcon,Background,0.8441481590270996,1.0,1.0,1.0,1.0,0.0
13,source_spectralis_topcon,IRF,1.0,1.0,0.0,0.0,0.0,1.0
14,source_spectralis_topcon,SRD,1.0,1.0,0.0,0.0,0.0,1.0
15,source_spectralis_topcon,PED,1.0,1.0,0.0,0.0,0.0,1.0
16,source_spectralis_topcon,Background,0.843963623046875,0.9999876022338867,0.9999938011169434,1.0,0.9999876022338867,0.0
17,source_spectralis_topcon,IRF,1.0,0.9999809265136719,0.0,0.0,0.0,0.9999809265136719
18,source_spectralis_topcon,SRD,1.0,1.0,0.0,0.0,0.0,1.0
19,source_spectralis_topcon,PED,1.0,1.0,0.0,0.0,0.0,1.0
20,source_spectralis_topcon,Background,0.8441214561462402,0.9999980926513672,0.9999990463256836,1.0,0.9999980926513672,0.0
21,source_spectralis_topcon,IRF,1.0,1.0,0.0,0.0,0.0,1.0
22,source_spectralis_topcon,SRD,1.0,1.0,0.0,0.0,0.0,1.0
