,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,source_topcon,Background,0.9999372959136963,0.9999686479568481,1.0,0.9999372959136963,0.0
1,source_topcon,IRF,1.0,0.0,0.0,0.0,1.0
2,source_topcon,SRD,0.9999487400054932,0.0,0.0,0.0,0.9999487400054932
3,source_topcon,PED,1.0,0.0,0.0,0.0,1.0
4,source_topcon,Background,1.0,1.0,1.0,1.0,0.0
5,source_topcon,IRF,1.0,0.0,0.0,0.0,1.0
6,source_topcon,SRD,1.0,0.0,0.0,0.0,1.0
7,source_topcon,PED,1.0,0.0,0.0,0.0,1.0
8,source_topcon,Background,0.9999210834503174,0.9999605417251587,0.9999637603759766,0.9999573230743408,0.4722222089767456
9,source_topcon,IRF,0.9999439716339111,0.5454545617103577,0.6157205104827881,0.4895833432674408,0.9999790191650391
10,source_topcon,SRD,1.0,0.0,0.0,0.0,1.0
11,source_topcon,PED,1.0,0.0,0.0,0.0,1.0
12,source_topcon,Background,0.9988677501678467,0.9994332790374756,0.9993017911911011,0.9995648860931396,0.38477712869644165
13,source_topcon,IRF,0.9988150596618652,0.4525225758552551,0.47524294257164,0.4318755269050598,0.9994586706161499
14,source_topcon,SRD,1.0,0.0,0.0,0.0,1.0
15,source_topcon,PED,1.0,0.0,0.0,0.0,1.0
16,source_topcon,Background,0.9976725578308105,0.9988332390785217,0.9990304708480835,0.99863600730896,0.6027625203132629
17,source_topcon,IRF,0.9975173473358154,0.5646557211875916,0.49252423644065857,0.6615399718284607,0.9983370304107666
18,source_topcon,SRD,1.0,0.0,0.0,0.0,1.0
19,source_topcon,PED,1.0,0.0,0.0,0.0,1.0
20,source_topcon,Background,0.9967365264892578,0.9983618855476379,0.9989404678344727,0.997783899307251,0.6833214163780212
21,source_topcon,IRF,0.9966425895690918,0.5896374583244324,0.4972476065158844,0.7241947054862976,0.9975530505180359
22,source_topcon,SRD,1.0,0.0,0.0,0.0,1.0
23,source_topcon,PED,1.0,0.0,0.0,0.0,1.0
24,source_topcon,Background,0.995612621307373,0.9977912902832031,0.9975728988647461,0.9980097413063049,0.6567908525466919
25,source_topcon,IRF,0.9956274032592773,0.6930646896362305,0.6836822032928467,0.7027081847190857,0.9976997971534729
26,source_topcon,SRD,0.9999973773956299,0.0,0.0,0.0,0.9999973773956299
27,source_topcon,PED,1.0,0.0,0.0,0.0,1.0
28,source_topcon,Background,0.994966983795166,0.9974445700645447,0.9961299300193787,0.9987626671791077,0.7691930532455444
29,source_topcon,IRF,0.9952855110168457,0.8480932712554932,0.907520055770874,0.7959710359573364,0.9986363649368286
30,source_topcon,SRD,1.0,0.0,0.0,0.0,1.0
31,source_topcon,PED,0.9998924732208252,0.0,0.0,0.0,0.9998924732208252
32,source_topcon,Background,0.9979407787322998,0.9989580512046814,0.9983554482460022,0.9995613098144531,0.8693786859512329
33,source_topcon,IRF,0.9981000423431396,0.9212027788162231,0.9521881937980652,0.8921703696250916,0.999435305595398
34,source_topcon,SRD,1.0,0.0,0.0,0.0,1.0
35,source_topcon,PED,1.0,0.0,0.0,0.0,1.0
36,source_topcon,Background,0.9996769428253174,0.9998384118080139,0.9998058676719666,0.9998709559440613,0.4768637418746948
37,source_topcon,IRF,0.9996674060821533,0.5279187560081482,0.5575410723686218,0.5012853741645813,0.9998523592948914
38,source_topcon,SRD,1.0,0.0,0.0,0.0,1.0
39,source_topcon,PED,1.0,0.0,0.0,0.0,1.0
40,source_topcon,Background,1.0,1.0,1.0,1.0,0.0
41,source_topcon,IRF,1.0,0.0,0.0,0.0,1.0
42,source_topcon,SRD,1.0,0.0,0.0,0.0,1.0
43,source_topcon,PED,1.0,0.0,0.0,0.0,1.0
44,source_topcon,Background,1.0,1.0,1.0,1.0,0.0
45,source_topcon,IRF,1.0,0.0,0.0,0.0,1.0
46,source_topcon,SRD,1.0,0.0,0.0,0.0,1.0
47,source_topcon,PED,1.0,0.0,0.0,0.0,1.0
48,source_topcon,Background,1.0,1.0,1.0,1.0,0.0
49,source_topcon,IRF,1.0,0.0,0.0,0.0,1.0
50,source_topcon,SRD,1.0,0.0,0.0,0.0,1.0
51,source_topcon,PED,1.0,0.0,0.0,0.0,1.0
52,source_topcon,Background,0.9999659061431885,0.9999829530715942,1.0,0.9999659061431885,0.0
53,source_topcon,IRF,0.9999690055847168,0.0,0.0,0.0,0.9999690055847168
54,source_topcon,SRD,1.0,0.0,0.0,0.0,1.0
55,source_topcon,PED,1.0,0.0,0.0,0.0,1.0
56,source_topcon,Background,1.0,1.0,1.0,1.0,0.0
57,source_topcon,IRF,1.0,0.0,0.0,0.0,1.0
58,source_topcon,SRD,1.0,0.0,0.0,0.0,1.0
59,source_topcon,PED,1.0,0.0,0.0,0.0,1.0
60,source_topcon,Background,1.0,1.0,1.0,1.0,0.0
61,source_topcon,IRF,1.0,0.0,0.0,0.0,1.0
62,source_topcon,SRD,1.0,0.0,0.0,0.0,1.0
63,source_topcon,PED,1.0,0.0,0.0,0.0,1.0
64,source_topcon,Background,0.8880829811096191,0.9407245516777039,1.0,0.8880829811096191,0.0
65,source_topcon,IRF,1.0,0.0,0.0,0.0,1.0
66,source_topcon,SRD,1.0,0.0,0.0,0.0,1.0
67,source_topcon,PED,0.9998641014099121,0.0,0.0,0.0,0.9998641014099121
68,source_topcon,Background,0.8657212257385254,0.9280284643173218,0.9998025894165039,0.8658692240715027,0.0
69,source_topcon,IRF,1.0,0.0,0.0,0.0,1.0
