,Model,Task,Dice,Accuracy,F1,Precision,Recall,Specificity
0,source_topcon,Background,0.8399989008903503,0.9715566635131836,0.9855731725692749,1.0,0.9715566635131836,0.0
1,source_topcon,IRF,1.0,1.0,0.0,0.0,0.0,1.0
2,source_topcon,SRD,1.0,1.0,0.0,0.0,0.0,1.0
3,source_topcon,PED,1.0,1.0,0.0,0.0,0.0,1.0
4,source_topcon,Background,0.8418197631835938,0.983485221862793,0.9916738867759705,1.0,0.983485221862793,0.0
5,source_topcon,IRF,1.0,1.0,0.0,0.0,0.0,1.0
6,source_topcon,SRD,1.0,1.0,0.0,0.0,0.0,1.0
7,source_topcon,PED,1.0,1.0,0.0,0.0,0.0,1.0
8,source_topcon,Background,0.8429989814758301,0.9924497604370117,0.9962105751037598,1.0,0.9924497604370117,0.0
9,source_topcon,IRF,1.0,0.99993896484375,0.0,0.0,0.0,0.99993896484375
10,source_topcon,SRD,1.0,1.0,0.0,0.0,0.0,1.0
11,source_topcon,PED,1.0,1.0,0.0,0.0,0.0,1.0
12,source_topcon,Background,0.8406416177749634,0.9758424758911133,0.9877735376358032,1.0,0.9758424758911133,0.0
13,source_topcon,IRF,1.0,1.0,0.0,0.0,0.0,1.0
14,source_topcon,SRD,1.0,1.0,0.0,0.0,0.0,1.0
15,source_topcon,PED,1.0,1.0,0.0,0.0,0.0,1.0
16,source_topcon,Background,0.8397693634033203,0.9701452255249023,0.9848464131355286,1.0,0.9701452255249023,0.0
17,source_topcon,IRF,1.0,1.0,0.0,0.0,0.0,1.0
18,source_topcon,SRD,1.0,1.0,0.0,0.0,0.0,1.0
19,source_topcon,PED,1.0,1.0,0.0,0.0,0.0,1.0
20,source_topcon,Background,0.8388290405273438,0.9643850326538086,0.981869637966156,1.0,0.9643850326538086,0.0
21,source_topcon,IRF,1.0,1.0,0.0,0.0,0.0,1.0
22,source_topcon,SRD,1.0,1.0,0.0,0.0,0.0,1.0
23,source_topcon,PED,1.0,1.0,0.0,0.0,0.0,1.0
24,source_topcon,Background,0.8373473882675171,0.9547090530395508,0.9768298268318176,1.0,0.9547090530395508,0.0
25,source_topcon,IRF,1.0,1.0,0.0,0.0,0.0,1.0
26,source_topcon,SRD,1.0,1.0,0.0,0.0,0.0,1.0
27,source_topcon,PED,1.0,1.0,0.0,0.0,0.0,1.0
28,source_topcon,Background,0.8372063636779785,0.95361328125,0.9762559533119202,1.0,0.95361328125,0.0
29,source_topcon,IRF,1.0,1.0,0.0,0.0,0.0,1.0
30,source_topcon,SRD,1.0,1.0,0.0,0.0,0.0,1.0
