,Model,Task,Dice,Accuracy,F1,Precision,Recall,Specificity
0,spectralis_no-svdna,Background,0.8439856767654419,1.0,1.0,1.0,1.0,0.0
1,spectralis_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
2,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
3,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
4,spectralis_no-svdna,Background,0.843932569026947,1.0,1.0,1.0,1.0,0.0
5,spectralis_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
6,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
7,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
8,spectralis_no-svdna,Background,0.8440467715263367,1.0,1.0,1.0,1.0,0.0
9,spectralis_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
10,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
11,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
12,spectralis_no-svdna,Background,0.8440084457397461,1.0,1.0,1.0,1.0,0.0
13,spectralis_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
14,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
15,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
16,spectralis_no-svdna,Background,0.8440170288085938,1.0,1.0,1.0,1.0,0.0
17,spectralis_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
18,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
19,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
20,spectralis_no-svdna,Background,0.8440196514129639,1.0,1.0,1.0,1.0,0.0
21,spectralis_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
22,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
23,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
24,spectralis_no-svdna,Background,0.8439645767211914,1.0,1.0,1.0,1.0,0.0
25,spectralis_no-svdna,IRF,1.0,0.9999980926513672,0.0,0.0,0.0,0.9999980926513672
26,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
27,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
28,spectralis_no-svdna,Background,0.8439584970474243,1.0,1.0,1.0,1.0,0.0
29,spectralis_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
30,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
31,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
32,spectralis_no-svdna,Background,0.8439244031906128,1.0,1.0,1.0,1.0,0.0
33,spectralis_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
34,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
35,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
36,spectralis_no-svdna,Background,0.8438891172409058,1.0,1.0,1.0,1.0,0.0
37,spectralis_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
38,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
39,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
40,spectralis_no-svdna,Background,0.8439942598342896,1.0,1.0,1.0,1.0,0.0
41,spectralis_no-svdna,IRF,1.0,0.9999980926513672,0.0,0.0,0.0,0.9999980926513672
42,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
43,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
44,spectralis_no-svdna,Background,0.8440665006637573,1.0,1.0,1.0,1.0,0.0
45,spectralis_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
46,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
47,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
48,spectralis_no-svdna,Background,0.8439226150512695,0.9997844696044922,0.9998922348022461,1.0,0.9997844696044922,0.0
49,spectralis_no-svdna,IRF,1.0,0.9999856948852539,0.0,0.0,0.0,0.9999856948852539
50,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
51,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
52,spectralis_no-svdna,Background,0.8440178632736206,1.0,1.0,1.0,1.0,0.0
53,spectralis_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
54,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
55,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
56,spectralis_no-svdna,Background,0.8439885377883911,0.9998292922973633,0.9999146461486816,1.0,0.9998292922973633,0.0
57,spectralis_no-svdna,IRF,1.0,0.9998035430908203,0.0,0.0,0.0,0.9998035430908203
58,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
59,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
60,spectralis_no-svdna,Background,0.8439865112304688,1.0,1.0,1.0,1.0,0.0
61,spectralis_no-svdna,IRF,1.0,0.9999971389770508,0.0,0.0,0.0,0.9999971389770508
62,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
63,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
64,spectralis_no-svdna,Background,0.8440000414848328,1.0,1.0,1.0,1.0,0.0
65,spectralis_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
66,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
67,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
68,spectralis_no-svdna,Background,0.8439955711364746,1.0,1.0,1.0,1.0,0.0
69,spectralis_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
70,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
71,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
72,spectralis_no-svdna,Background,0.8439888954162598,1.0,1.0,1.0,1.0,0.0
73,spectralis_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
74,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
75,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
76,spectralis_no-svdna,Background,0.8439757823944092,1.0,1.0,1.0,1.0,0.0
77,spectralis_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
78,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
79,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
80,spectralis_no-svdna,Background,0.8439352512359619,0.9997043609619141,0.999852180480957,0.9997043609619141,1.0,0.0
81,spectralis_no-svdna,IRF,0.00017690658569335938,0.9997043609619141,0.0,0.0,0.0,1.0
82,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
83,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
84,spectralis_no-svdna,Background,0.8438119888305664,0.9992446899414062,0.9996222257614136,0.9992446899414062,1.0,0.0
85,spectralis_no-svdna,IRF,0.00021284818649291992,0.9992446899414062,0.0,0.0,0.0,1.0
86,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
87,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
88,spectralis_no-svdna,Background,0.8427639007568359,0.9972963333129883,0.998645544052124,0.9974422454833984,0.9998517036437988,0.18689320981502533
89,spectralis_no-svdna,IRF,0.00033545494079589844,0.9972734451293945,0.32299312949180603,0.7357065677642822,0.20691747963428497,0.9997656345367432
90,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
91,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
92,spectralis_no-svdna,Background,0.8415325880050659,0.9946174621582031,0.9973003268241882,0.9946179986000061,0.9999971389770508,0.07433541119098663
93,spectralis_no-svdna,IRF,0.0001785755157470703,0.9946584701538086,0.1509777158498764,0.9900596141815186,0.08171972632408142,0.999995231628418
94,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
95,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
96,spectralis_no-svdna,Background,0.8411927223205566,0.9942169189453125,0.9970983266830444,0.9942978620529175,0.9999145865440369,0.09661324322223663
97,spectralis_no-svdna,IRF,0.00028121471405029297,0.9942054748535156,0.17803029716014862,0.8457583785057068,0.09948594123125076,0.999884843826294
98,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
99,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
100,spectralis_no-svdna,Background,0.8394153118133545,0.9911413192749023,0.9955474734306335,0.9911949634552002,0.9999383687973022,0.08154121786355972
101,spectralis_no-svdna,IRF,0.00022590160369873047,0.9909982681274414,0.12739206850528717,0.8913324475288391,0.06859816610813141,0.9999191164970398
102,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
103,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
104,spectralis_no-svdna,Background,0.8379851579666138,0.9884939193725586,0.9942049384117126,0.9888308048248291,0.9996377825737,0.11840120702981949
105,spectralis_no-svdna,IRF,0.0003006458282470703,0.9885921478271484,0.21776092052459717,0.8193897604942322,0.12556561827659607,0.9996455311775208
106,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
107,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
108,spectralis_no-svdna,Background,0.8380955457687378,0.9891185760498047,0.9945141673088074,0.9894554018974304,0.9996249675750732,0.20921222865581512
109,spectralis_no-svdna,IRF,0.0002834796905517578,0.9892120361328125,0.35610198974609375,0.8617079854011536,0.22442243993282318,0.9995148181915283
110,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
111,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
112,spectralis_no-svdna,Background,0.8381038904190063,0.9889612197875977,0.9944328665733337,0.9899662733078003,0.9989399909973145,0.2339523285627365
113,spectralis_no-svdna,IRF,0.00014603137969970703,0.9890098571777344,0.36359620094299316,0.7431151270866394,0.24067845940589905,0.9989003539085388
114,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
115,spectralis_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
116,spectralis_no-svdna,Background,0.8335734009742737,0.9865093231201172,0.9931437373161316,0.9878836274147034,0.9984602332115173,0.4403669834136963
117,spectralis_no-svdna,IRF,0.0004260540008544922,0.9863681793212891,0.5781241059303284,0.8570178747177124,0.43618062138557434,0.9984076023101807
118,spectralis_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
