,Model,Task,Dice,Accuracy,F1,Precision,Recall,Specificity
0,spectralis_only_histmatching,Background,0.844251811504364,1.0,1.0,1.0,1.0,0.0
1,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
2,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
3,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
4,spectralis_only_histmatching,Background,0.8442192077636719,1.0,1.0,1.0,1.0,0.0
5,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
6,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
7,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
8,spectralis_only_histmatching,Background,0.8441755175590515,0.9999542236328125,0.9999771118164062,1.0,0.9999542236328125,0.0
9,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
10,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
11,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
12,spectralis_only_histmatching,Background,0.8442299365997314,1.0,1.0,1.0,1.0,0.0
13,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
14,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
15,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
16,spectralis_only_histmatching,Background,0.8442100286483765,1.0,1.0,1.0,1.0,0.0
17,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
18,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
19,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
20,spectralis_only_histmatching,Background,0.8442400693893433,1.0,1.0,1.0,1.0,0.0
21,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
22,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
23,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
24,spectralis_only_histmatching,Background,0.8442484140396118,1.0,1.0,1.0,1.0,0.0
25,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
26,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
27,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
28,spectralis_only_histmatching,Background,0.8442474603652954,1.0,1.0,1.0,1.0,0.0
29,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
30,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
31,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
32,spectralis_only_histmatching,Background,0.8442153930664062,1.0,1.0,1.0,1.0,0.0
33,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
34,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
35,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
36,spectralis_only_histmatching,Background,0.8442287445068359,1.0,1.0,1.0,1.0,0.0
37,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
38,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
39,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
40,spectralis_only_histmatching,Background,0.8442304134368896,0.9999961853027344,0.9999980926513672,1.0,0.9999961853027344,0.0
41,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
42,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
43,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
44,spectralis_only_histmatching,Background,0.8442404270172119,1.0,1.0,1.0,1.0,0.0
45,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
46,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
47,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
48,spectralis_only_histmatching,Background,0.8442431688308716,1.0,1.0,1.0,1.0,0.0
49,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
50,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
51,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
52,spectralis_only_histmatching,Background,0.8441534042358398,0.999969482421875,0.9999847412109375,1.0,0.999969482421875,0.0
53,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
54,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
55,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
56,spectralis_only_histmatching,Background,0.8441828489303589,0.9999847412109375,0.9999923706054688,1.0,0.9999847412109375,0.0
57,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
58,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
59,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
60,spectralis_only_histmatching,Background,0.8441612124443054,0.9999313354492188,0.9999656677246094,1.0,0.9999313354492188,0.0
61,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
62,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
63,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
64,spectralis_only_histmatching,Background,0.8441157341003418,0.9999294281005859,0.999964714050293,1.0,0.9999294281005859,0.0
65,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
66,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
67,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
68,spectralis_only_histmatching,Background,0.8442603349685669,1.0,1.0,1.0,1.0,0.0
69,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
70,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
71,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
72,spectralis_only_histmatching,Background,0.8442729711532593,1.0,1.0,1.0,1.0,0.0
73,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
74,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
75,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
76,spectralis_only_histmatching,Background,0.8442621827125549,1.0,1.0,1.0,1.0,0.0
77,spectralis_only_histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
78,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
79,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
80,spectralis_only_histmatching,Background,0.8441466093063354,0.9997043609619141,0.999852180480957,0.9997043609619141,1.0,0.0
81,spectralis_only_histmatching,IRF,0.00017660856246948242,0.9997043609619141,0.0,0.0,0.0,1.0
82,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
83,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
84,spectralis_only_histmatching,Background,0.8439676761627197,0.9992446899414062,0.9996222257614136,0.9992446899414062,1.0,0.0
85,spectralis_only_histmatching,IRF,0.00021183490753173828,0.9992446899414062,0.0,0.0,0.0,1.0
86,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
87,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
88,spectralis_only_histmatching,Background,0.8429356217384338,0.996856689453125,0.9984258413314819,0.996856689453125,1.0,0.0
89,spectralis_only_histmatching,IRF,0.0002894401550292969,0.996856689453125,0.0,0.0,0.0,1.0
90,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
91,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
92,spectralis_only_histmatching,Background,0.8416575193405151,0.9941883087158203,0.997085690498352,0.9941883087158203,1.0,0.0
93,spectralis_only_histmatching,IRF,0.00017768144607543945,0.9941883087158203,0.0,0.0,0.0,1.0
94,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
95,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
96,spectralis_only_histmatching,Background,0.8413406014442444,0.9936666488647461,0.996823251247406,0.9936922192573547,0.9999740719795227,0.0
97,spectralis_only_histmatching,IRF,0.00027561187744140625,0.9936923980712891,0.0,0.0,0.0,1.0
98,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
99,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
100,spectralis_only_histmatching,Background,0.8394153118133545,0.9903736114501953,0.9951635003089905,0.9904208183288574,0.9999518394470215,0.0
101,spectralis_only_histmatching,IRF,0.00022339820861816406,0.9904212951660156,0.0,0.0,0.0,1.0
102,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
103,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
104,spectralis_only_histmatching,Background,0.8379417657852173,0.9873189926147461,0.9936190247535706,0.9873538613319397,0.9999642372131348,0.0
105,spectralis_only_histmatching,IRF,0.0002961158752441406,0.9873542785644531,0.0,0.0,0.0,1.0
106,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
107,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
108,spectralis_only_histmatching,Background,0.8381050825119019,0.9876317977905273,0.993770956993103,0.9877265095710754,0.9998897910118103,0.07770124822854996
109,spectralis_only_histmatching,IRF,0.0002689361572265625,0.9872875213623047,0.0835968628525734,1.0,0.04362175241112709,1.0
110,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
111,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
112,spectralis_only_histmatching,Background,0.8381843566894531,0.9874095916748047,0.9936614036560059,0.9875024557113647,0.9998975992202759,0.04255007952451706
113,spectralis_only_histmatching,IRF,0.00014102458953857422,0.9871559143066406,0.035519909113645554,0.867132842540741,0.018131306394934654,0.9999632835388184
114,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
115,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
116,spectralis_only_histmatching,Background,0.8334776163101196,0.984807014465332,0.9922913312911987,0.9854274392127991,0.9992515444755554,0.3247082829475403
117,spectralis_only_histmatching,IRF,0.00039583444595336914,0.9836149215698242,0.409161239862442,0.8979622721672058,0.26494166254997253,0.9993411898612976
118,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
119,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
120,spectralis_only_histmatching,Background,0.8309054374694824,0.9782247543334961,0.9889565706253052,0.978187084197998,0.9999657869338989,0.12911605834960938
121,spectralis_only_histmatching,IRF,0.00016438961029052734,0.9759960174560547,0.07524432241916656,0.9846153855323792,0.039116814732551575,0.9999843239784241
122,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
123,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
124,spectralis_only_histmatching,Background,0.8350860476493835,0.9816455841064453,0.990737795829773,0.9816455841064453,1.0,0.0
125,spectralis_only_histmatching,IRF,0.00023365020751953125,0.9816455841064453,0.0,0.0,0.0,1.0
126,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
127,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
128,spectralis_only_histmatching,Background,0.8330823183059692,0.9796009063720703,0.9896734952926636,0.9795581102371216,1.0,0.09310608357191086
129,spectralis_only_histmatching,IRF,0.0006126165390014648,0.9775924682617188,0.007602635771036148,1.0,0.0038158230017870665,1.0
130,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
131,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
132,spectralis_only_histmatching,Background,0.8304733037948608,0.9803524017333984,0.989997923374176,0.9805889129638672,0.999589204788208,0.2936091423034668
133,spectralis_only_histmatching,IRF,0.0007520914077758789,0.9787073135375977,0.3697744607925415,0.9555069208145142,0.2292454093694687,0.9997009634971619
134,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
135,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
136,spectralis_only_histmatching,Background,0.8325108885765076,0.9844112396240234,0.9920703768730164,0.9845460653305054,0.9997106194496155,0.3769409954547882
137,spectralis_only_histmatching,IRF,0.0019622445106506348,0.9840917587280273,0.5270887017250061,0.9771891236305237,0.36086955666542053,0.9997878670692444
138,spectralis_only_histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
139,spectralis_only_histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
140,spectralis_only_histmatching,Background,0.8340662717819214,0.9842157363891602,0.9920057058334351,0.984322190284729,0.9998101592063904,0.23854748904705048
