,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,spectralis_svdna_no_Histmatching,Background,0.9999985694885254,0.9999992847442627,1.0,0.9999985694885254,0.0
1,spectralis_svdna_no_Histmatching,IRF,1.0,0.0,0.0,0.0,1.0
2,spectralis_svdna_no_Histmatching,SRD,1.0,0.0,0.0,0.0,1.0
3,spectralis_svdna_no_Histmatching,PED,0.9999980926513672,0.0,0.0,0.0,0.9999980926513672
4,spectralis_svdna_no_Histmatching,Background,0.9999518394470215,0.9999759197235107,1.0,0.9999518394470215,0.0
5,spectralis_svdna_no_Histmatching,IRF,1.0,0.0,0.0,0.0,1.0
6,spectralis_svdna_no_Histmatching,SRD,1.0,0.0,0.0,0.0,1.0
7,spectralis_svdna_no_Histmatching,PED,0.9999563694000244,0.0,0.0,0.0,0.9999563694000244
8,spectralis_svdna_no_Histmatching,Background,0.9999053478240967,0.9999526739120483,0.9999446868896484,0.9999606609344482,0.1944444477558136
9,spectralis_svdna_no_Histmatching,IRF,0.9999446868896484,0.33714285492897034,0.9516128897666931,0.2048611044883728,0.9999992847442627
10,spectralis_svdna_no_Histmatching,SRD,1.0,0.0,0.0,0.0,1.0
11,spectralis_svdna_no_Histmatching,PED,0.9999659061431885,0.0,0.0,0.0,0.9999659061431885
12,spectralis_svdna_no_Histmatching,Background,0.998866081237793,0.9994327425956726,0.998866081237793,1.0,0.0
13,spectralis_svdna_no_Histmatching,IRF,0.9988703727722168,0.0075408462435007095,1.0,0.0037846930790692568,1.0
14,spectralis_svdna_no_Histmatching,SRD,1.0,0.0,0.0,0.0,1.0
15,spectralis_svdna_no_Histmatching,PED,1.0,0.0,0.0,0.0,1.0
16,spectralis_svdna_no_Histmatching,Background,0.9975895881652832,0.9987933039665222,0.9975895285606384,1.0,0.009600313380360603
17,spectralis_svdna_no_Histmatching,IRF,0.9975996017456055,0.027058368548750877,1.0,0.01371473353356123,1.0
18,spectralis_svdna_no_Histmatching,SRD,1.0,0.0,0.0,0.0,1.0
19,spectralis_svdna_no_Histmatching,PED,1.0,0.0,0.0,0.0,1.0
20,spectralis_svdna_no_Histmatching,Background,0.9965858459472656,0.9982900023460388,0.9966689944267273,0.9999162554740906,0.0
21,spectralis_svdna_no_Histmatching,IRF,0.9966692924499512,0.0,0.0,0.0,1.0
22,spectralis_svdna_no_Histmatching,SRD,0.9999504089355469,0.0,0.0,0.0,0.9999504089355469
23,spectralis_svdna_no_Histmatching,PED,0.9999902248382568,0.0,0.0,0.0,0.9999902248382568
24,spectralis_svdna_no_Histmatching,Background,0.9927515983581543,0.9963626265525818,0.9929732084274292,0.9997752904891968,0.0
25,spectralis_svdna_no_Histmatching,IRF,0.9929747581481934,0.0,0.0,0.0,1.0
26,spectralis_svdna_no_Histmatching,SRD,0.9998431205749512,0.0,0.0,0.0,0.9998431205749512
27,spectralis_svdna_no_Histmatching,PED,0.9999253749847412,0.0,0.0,0.0,0.9999253749847412
28,spectralis_svdna_no_Histmatching,Background,0.9834592342376709,0.9916606545448303,0.9834660291671753,0.9999929666519165,0.0
29,spectralis_svdna_no_Histmatching,IRF,0.9834661483764648,0.0,0.0,0.0,1.0
30,spectralis_svdna_no_Histmatching,SRD,0.9999971389770508,0.0,0.0,0.0,0.9999971389770508
31,spectralis_svdna_no_Histmatching,PED,0.9999988079071045,0.0,0.0,0.0,0.9999988079071045
32,spectralis_svdna_no_Histmatching,Background,0.9875802993774414,0.9937511682510376,0.9875799417495728,1.0,0.0022983222734183073
33,spectralis_svdna_no_Histmatching,IRF,0.9875917434692383,0.00641466211527586,1.0,0.003217651043087244,1.0
34,spectralis_svdna_no_Histmatching,SRD,1.0,0.0,0.0,0.0,1.0
35,spectralis_svdna_no_Histmatching,PED,1.0,0.0,0.0,0.0,1.0
36,spectralis_svdna_no_Histmatching,Background,0.999629020690918,0.9998144507408142,0.999629020690918,1.0,0.0
37,spectralis_svdna_no_Histmatching,IRF,0.999629020690918,0.0,0.0,0.0,1.0
38,spectralis_svdna_no_Histmatching,SRD,1.0,0.0,0.0,0.0,1.0
39,spectralis_svdna_no_Histmatching,PED,1.0,0.0,0.0,0.0,1.0
40,spectralis_svdna_no_Histmatching,Background,0.9999809265136719,0.9999904632568359,1.0,0.9999809265136719,0.0
41,spectralis_svdna_no_Histmatching,IRF,1.0,0.0,0.0,0.0,1.0
42,spectralis_svdna_no_Histmatching,SRD,1.0,0.0,0.0,0.0,1.0
43,spectralis_svdna_no_Histmatching,PED,1.0,0.0,0.0,0.0,1.0
44,spectralis_svdna_no_Histmatching,Background,1.0,1.0,1.0,1.0,0.0
45,spectralis_svdna_no_Histmatching,IRF,1.0,0.0,0.0,0.0,1.0
46,spectralis_svdna_no_Histmatching,SRD,1.0,0.0,0.0,0.0,1.0
47,spectralis_svdna_no_Histmatching,PED,1.0,0.0,0.0,0.0,1.0
48,spectralis_svdna_no_Histmatching,Background,1.0,1.0,1.0,1.0,0.0
49,spectralis_svdna_no_Histmatching,IRF,1.0,0.0,0.0,0.0,1.0
50,spectralis_svdna_no_Histmatching,SRD,1.0,0.0,0.0,0.0,1.0
51,spectralis_svdna_no_Histmatching,PED,1.0,0.0,0.0,0.0,1.0
52,spectralis_svdna_no_Histmatching,Background,0.9999992847442627,0.9999996423721313,1.0,0.9999992847442627,0.0
53,spectralis_svdna_no_Histmatching,IRF,1.0,0.0,0.0,0.0,1.0
54,spectralis_svdna_no_Histmatching,SRD,1.0,0.0,0.0,0.0,1.0
55,spectralis_svdna_no_Histmatching,PED,1.0,0.0,0.0,0.0,1.0
56,spectralis_svdna_no_Histmatching,Background,1.0,1.0,1.0,1.0,0.0
57,spectralis_svdna_no_Histmatching,IRF,1.0,0.0,0.0,0.0,1.0
58,spectralis_svdna_no_Histmatching,SRD,1.0,0.0,0.0,0.0,1.0
59,spectralis_svdna_no_Histmatching,PED,1.0,0.0,0.0,0.0,1.0
60,spectralis_svdna_no_Histmatching,Background,1.0,1.0,1.0,1.0,0.0
61,spectralis_svdna_no_Histmatching,IRF,1.0,0.0,0.0,0.0,1.0
62,spectralis_svdna_no_Histmatching,SRD,1.0,0.0,0.0,0.0,1.0
63,spectralis_svdna_no_Histmatching,PED,1.0,0.0,0.0,0.0,1.0
64,spectralis_svdna_no_Histmatching,Background,0.9997797012329102,0.9998898506164551,1.0,0.9997797012329102,0.0
65,spectralis_svdna_no_Histmatching,IRF,1.0,0.0,0.0,0.0,1.0
66,spectralis_svdna_no_Histmatching,SRD,1.0,0.0,0.0,0.0,1.0
67,spectralis_svdna_no_Histmatching,PED,0.999992847442627,0.0,0.0,0.0,0.999992847442627
68,spectralis_svdna_no_Histmatching,Background,0.9960076808929443,0.9979996085166931,0.9999372959136963,0.9960694909095764,0.6345885396003723
69,spectralis_svdna_no_Histmatching,IRF,1.0,0.0,0.0,0.0,1.0
