,Model,Task,Dice,Accuracy,F1,Precision,Recall,Specificity
0,spectralis_svdna_no_Histmatching,Background,0.8441505432128906,0.9997682571411133,0.9998841285705566,1.0,0.9997682571411133,0.0
1,spectralis_svdna_no_Histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
2,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
3,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
4,spectralis_svdna_no_Histmatching,Background,0.8443294763565063,0.9999599456787109,0.9999799728393555,1.0,0.9999599456787109,0.0
5,spectralis_svdna_no_Histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
6,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
7,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
8,spectralis_svdna_no_Histmatching,Background,0.844351053237915,0.9999809265136719,0.9999904632568359,1.0,0.9999809265136719,0.0
9,spectralis_svdna_no_Histmatching,IRF,1.0,0.9999685287475586,0.0,0.0,0.0,0.9999685287475586
10,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
11,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
12,spectralis_svdna_no_Histmatching,Background,0.8442553877830505,0.9997892379760742,0.9998946189880371,1.0,0.9997892379760742,0.0
13,spectralis_svdna_no_Histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
14,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
15,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
16,spectralis_svdna_no_Histmatching,Background,0.8441933393478394,0.999577522277832,0.9997887015342712,1.0,0.999577522277832,0.0
17,spectralis_svdna_no_Histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
18,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
19,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
20,spectralis_svdna_no_Histmatching,Background,0.843440592288971,0.9983377456665039,0.9991681575775146,1.0,0.9983377456665039,0.0
21,spectralis_svdna_no_Histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
22,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
23,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
24,spectralis_svdna_no_Histmatching,Background,0.8434115052223206,0.9996061325073242,0.9998030066490173,1.0,0.9996061325073242,0.0
25,spectralis_svdna_no_Histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
26,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
27,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
28,spectralis_svdna_no_Histmatching,Background,0.8433563709259033,0.999323844909668,0.9996618032455444,1.0,0.999323844909668,0.0
29,spectralis_svdna_no_Histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
30,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
31,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
32,spectralis_svdna_no_Histmatching,Background,0.8436137437820435,0.9977426528930664,0.9988700747489929,1.0,0.9977426528930664,0.0
33,spectralis_svdna_no_Histmatching,IRF,1.0,0.9999618530273438,0.0,0.0,0.0,0.9999618530273438
34,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
35,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
36,spectralis_svdna_no_Histmatching,Background,0.8441511392593384,0.9999399185180664,0.9999699592590332,1.0,0.9999399185180664,0.0
37,spectralis_svdna_no_Histmatching,IRF,1.0,0.9999256134033203,0.0,0.0,0.0,0.9999256134033203
38,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
39,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
40,spectralis_svdna_no_Histmatching,Background,0.8443018198013306,0.9999713897705078,0.9999856948852539,1.0,0.9999713897705078,0.0
41,spectralis_svdna_no_Histmatching,IRF,1.0,0.9999589920043945,0.0,0.0,0.0,0.9999589920043945
42,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
43,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
44,spectralis_svdna_no_Histmatching,Background,0.8442978858947754,1.0,1.0,1.0,1.0,0.0
45,spectralis_svdna_no_Histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
46,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
47,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
48,spectralis_svdna_no_Histmatching,Background,0.8442919254302979,0.9998331069946289,0.9999165534973145,1.0,0.9998331069946289,0.0
49,spectralis_svdna_no_Histmatching,IRF,1.0,0.9997797012329102,0.0,0.0,0.0,0.9997797012329102
50,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
51,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
52,spectralis_svdna_no_Histmatching,Background,0.8442732095718384,0.9998903274536133,0.9999451637268066,1.0,0.9998903274536133,0.0
53,spectralis_svdna_no_Histmatching,IRF,1.0,0.9998559951782227,0.0,0.0,0.0,0.9998559951782227
54,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
55,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
56,spectralis_svdna_no_Histmatching,Background,0.8442248106002808,0.9998025894165039,0.999901294708252,1.0,0.9998025894165039,0.0
57,spectralis_svdna_no_Histmatching,IRF,1.0,0.9997682571411133,0.0,0.0,0.0,0.9997682571411133
58,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
59,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
60,spectralis_svdna_no_Histmatching,Background,0.8441319465637207,0.9997568130493164,0.9998784065246582,1.0,0.9997568130493164,0.0
61,spectralis_svdna_no_Histmatching,IRF,1.0,0.9997453689575195,0.0,0.0,0.0,0.9997453689575195
62,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
63,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
64,spectralis_svdna_no_Histmatching,Background,0.8442484140396118,1.0,1.0,1.0,1.0,0.0
65,spectralis_svdna_no_Histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
66,spectralis_svdna_no_Histmatching,SRD,1.0,1.0,0.0,0.0,0.0,1.0
67,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
68,spectralis_svdna_no_Histmatching,Background,0.8441721200942993,0.9994058609008789,0.9997028708457947,1.0,0.9994058609008789,0.0
69,spectralis_svdna_no_Histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
70,spectralis_svdna_no_Histmatching,SRD,1.0,0.9994792938232422,0.0,0.0,0.0,0.9994792938232422
71,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
72,spectralis_svdna_no_Histmatching,Background,0.8442425727844238,0.9996318817138672,0.9998158812522888,1.0,0.9996318817138672,0.0
73,spectralis_svdna_no_Histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
74,spectralis_svdna_no_Histmatching,SRD,1.0,0.9995956420898438,0.0,0.0,0.0,0.9995956420898438
75,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
76,spectralis_svdna_no_Histmatching,Background,0.8441205024719238,0.9988059997558594,0.999402642250061,1.0,0.9988059997558594,0.0
77,spectralis_svdna_no_Histmatching,IRF,1.0,1.0,0.0,0.0,0.0,1.0
78,spectralis_svdna_no_Histmatching,SRD,1.0,0.9986886978149414,0.0,0.0,0.0,0.9986886978149414
79,spectralis_svdna_no_Histmatching,PED,1.0,1.0,0.0,0.0,0.0,1.0
80,spectralis_svdna_no_Histmatching,Background,0.8438788056373596,0.9978532791137695,0.9989252090454102,0.999958872795105,0.9978936910629272,0.8612903356552124
