,Model,Task,Dice,Accuracy,F1,Precision,Recall,Specificity
0,spectralis_topcon_no-svdna,Background,0.8442028760910034,0.9999809265136719,0.9999904632568359,1.0,0.9999809265136719,0.0
1,spectralis_topcon_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
2,spectralis_topcon_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
3,spectralis_topcon_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
4,spectralis_topcon_no-svdna,Background,0.8442513346672058,1.0,1.0,1.0,1.0,0.0
5,spectralis_topcon_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
6,spectralis_topcon_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
7,spectralis_topcon_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
8,spectralis_topcon_no-svdna,Background,0.8442615270614624,0.9999265670776367,0.9999632835388184,1.0,0.9999265670776367,0.0
9,spectralis_topcon_no-svdna,IRF,1.0,0.9999160766601562,0.0,0.0,0.0,0.9999160766601562
10,spectralis_topcon_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
11,spectralis_topcon_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
12,spectralis_topcon_no-svdna,Background,0.8442153930664062,0.9999923706054688,0.9999961853027344,1.0,0.9999923706054688,0.0
13,spectralis_topcon_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
14,spectralis_topcon_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
15,spectralis_topcon_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
16,spectralis_topcon_no-svdna,Background,0.8441656827926636,0.9999847412109375,0.9999923706054688,1.0,0.9999847412109375,0.0
17,spectralis_topcon_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
18,spectralis_topcon_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
19,spectralis_topcon_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
20,spectralis_topcon_no-svdna,Background,0.8441919088363647,1.0,1.0,1.0,1.0,0.0
21,spectralis_topcon_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
22,spectralis_topcon_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
23,spectralis_topcon_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
24,spectralis_topcon_no-svdna,Background,0.8441715240478516,1.0,1.0,1.0,1.0,0.0
25,spectralis_topcon_no-svdna,IRF,1.0,1.0,0.0,0.0,0.0,1.0
26,spectralis_topcon_no-svdna,SRD,1.0,1.0,0.0,0.0,0.0,1.0
27,spectralis_topcon_no-svdna,PED,1.0,1.0,0.0,0.0,0.0,1.0
28,spectralis_topcon_no-svdna,Background,0.8441112637519836,0.9999418258666992,0.9999709129333496,1.0,0.9999418258666992,0.0
