,Model,Task,Accuracy,F1,Precision,Recall,Specificity
0,supervised_full_dataset,Background,1.0,1.0,1.0,1.0,0.0
1,supervised_full_dataset,IRF,1.0,0.0,0.0,0.0,1.0
2,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
3,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
4,supervised_full_dataset,Background,1.0,1.0,1.0,1.0,0.0
5,supervised_full_dataset,IRF,1.0,0.0,0.0,0.0,1.0
6,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
7,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
8,supervised_full_dataset,Background,0.9999587535858154,0.9999793767929077,0.9999804496765137,0.9999783039093018,0.7152777910232544
9,supervised_full_dataset,IRF,0.9999454021453857,0.675177276134491,0.5707433819770813,0.8263888955116272,0.9999573230743408
10,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
11,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
12,supervised_full_dataset,Background,0.9991164207458496,0.9995577931404114,0.9993091225624084,0.9998066425323486,0.3910849392414093
13,supervised_full_dataset,IRF,0.9990582466125488,0.5232923030853271,0.6141642928123474,0.4558452367782593,0.999674916267395
14,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
15,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
16,supervised_full_dataset,Background,0.9980120658874512,0.9990036487579346,0.9989535212516785,0.9990537762641907,0.5710227489471436
17,supervised_full_dataset,IRF,0.9978797435760498,0.5993602871894836,0.554841935634613,0.6516457796096802,0.9987244606018066
18,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
19,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
20,supervised_full_dataset,Background,0.9974007606506348,0.9986958503723145,0.9988425970077515,0.9985491633415222,0.6537580490112305
21,supervised_full_dataset,IRF,0.9972481727600098,0.6307032704353333,0.5702383518218994,0.7055118083953857,0.9982231259346008
22,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
23,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
24,supervised_full_dataset,Background,0.9955465793609619,0.9977583885192871,0.9973807334899902,0.9981362819671631,0.6295052170753479
25,supervised_full_dataset,IRF,0.9953134059906006,0.6667344570159912,0.6661584973335266,0.6673114895820618,0.9976339936256409
26,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
27,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
28,supervised_full_dataset,Background,0.9953896999359131,0.9976581335067749,0.9967854619026184,0.9985323548316956,0.8084588050842285
29,supervised_full_dataset,IRF,0.9954845905303955,0.8590397238731384,0.8877078294754028,0.8321653008460999,0.9982302784919739
30,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
31,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
32,supervised_full_dataset,Background,0.9981188774108887,0.999048113822937,0.9984889030456543,0.9996079206466675,0.8799892663955688
33,supervised_full_dataset,IRF,0.9982209205627441,0.926076352596283,0.959162712097168,0.8951964974403381,0.9995195865631104
34,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
35,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
36,supervised_full_dataset,Background,0.9998719692230225,0.9999359846115112,0.9998943209648132,0.9999775886535645,0.7152956128120422
37,supervised_full_dataset,IRF,0.9998865127563477,0.8375426530838013,0.8930131196975708,0.7885603904724121,0.9999649524688721
38,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
39,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
40,supervised_full_dataset,Background,1.0,1.0,1.0,1.0,0.0
41,supervised_full_dataset,IRF,1.0,0.0,0.0,0.0,1.0
42,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
43,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
44,supervised_full_dataset,Background,1.0,1.0,1.0,1.0,0.0
45,supervised_full_dataset,IRF,1.0,0.0,0.0,0.0,1.0
46,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
47,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
48,supervised_full_dataset,Background,1.0,1.0,1.0,1.0,0.0
49,supervised_full_dataset,IRF,1.0,0.0,0.0,0.0,1.0
50,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
51,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
52,supervised_full_dataset,Background,0.999901533126831,0.9999507665634155,1.0,0.999901533126831,0.0
53,supervised_full_dataset,IRF,0.9998767375946045,0.0,0.0,0.0,0.9998767375946045
54,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
55,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
56,supervised_full_dataset,Background,0.9999945163726807,0.9999972581863403,1.0,0.9999945163726807,0.0
57,supervised_full_dataset,IRF,0.9999868869781494,0.0,0.0,0.0,0.9999868869781494
58,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
59,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
60,supervised_full_dataset,Background,1.0,1.0,1.0,1.0,0.0
61,supervised_full_dataset,IRF,1.0,0.0,0.0,0.0,1.0
62,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
63,supervised_full_dataset,PED,1.0,0.0,0.0,0.0,1.0
64,supervised_full_dataset,Background,0.9990484714508057,0.9995239973068237,1.0,0.9990484714508057,0.0
65,supervised_full_dataset,IRF,1.0,0.0,0.0,0.0,1.0
66,supervised_full_dataset,SRD,1.0,0.0,0.0,0.0,1.0
67,supervised_full_dataset,PED,0.999974250793457,0.0,0.0,0.0,0.999974250793457
68,supervised_full_dataset,Background,0.997950553894043,0.9989741444587708,0.9998834133148193,0.9980665445327759,0.3193863332271576
69,supervised_full_dataset,IRF,1.0,0.0,0.0,0.0,1.0
70,supervised_full_dataset,SRD,0.9989156723022461,0.0,0.0,0.0,0.9989156723022461
71,supervised_full_dataset,PED,0.9995274543762207,0.20720000565052032,0.1452607959508896,0.3612273335456848,0.9996365904808044
72,supervised_full_dataset,Background,0.9946627616882324,0.9972954988479614,0.9967538118362427,0.9978377223014832,0.767917275428772
73,supervised_full_dataset,IRF,0.99880051612854,0.7082632780075073,0.558022677898407,0.969211220741272,0.9988450407981873
74,supervised_full_dataset,SRD,0.9998965263366699,0.5167037844657898,0.4296296238899231,0.6480447053909302,0.9999265670776367
75,supervised_full_dataset,PED,0.9964280128479004,0.8378185033798218,0.9411450028419495,0.754935622215271,0.9994158744812012
76,supervised_full_dataset,Background,0.9907517433166504,0.9952623844146729,0.9937045574188232,0.9968251585960388,0.7584770917892456
77,supervised_full_dataset,IRF,0.9972023963928223,0.6024798154830933,0.437168151140213,0.9688385128974915,0.9972646236419678
