,Model,Task,Dice,Accuracy,F1,Precision,Recall,Specificity
0,supervised_full_dataset,Background,0.8443448543548584,0.9999980926513672,0.9999990463256836,1.0,0.9999980926513672,0.0
1,supervised_full_dataset,IRF,1.0,0.9998540878295898,0.0,0.0,0.0,0.9998540878295898
2,supervised_full_dataset,SRD,1.0,1.0,0.0,0.0,0.0,1.0
3,supervised_full_dataset,PED,1.0,1.0,0.0,0.0,0.0,1.0
4,supervised_full_dataset,Background,0.8443386554718018,0.9998044967651367,0.9999022483825684,1.0,0.9998044967651367,0.0
5,supervised_full_dataset,IRF,1.0,0.999394416809082,0.0,0.0,0.0,0.999394416809082
6,supervised_full_dataset,SRD,1.0,1.0,0.0,0.0,0.0,1.0
7,supervised_full_dataset,PED,1.0,1.0,0.0,0.0,0.0,1.0
8,supervised_full_dataset,Background,0.8443774580955505,0.9998483657836914,0.9999241828918457,1.0,0.9998483657836914,0.0
9,supervised_full_dataset,IRF,1.0,0.9997797012329102,0.0,0.0,0.0,0.9997797012329102
10,supervised_full_dataset,SRD,1.0,1.0,0.0,0.0,0.0,1.0
11,supervised_full_dataset,PED,1.0,1.0,0.0,0.0,0.0,1.0
12,supervised_full_dataset,Background,0.8443728685379028,1.0,1.0,1.0,1.0,0.0
13,supervised_full_dataset,IRF,1.0,1.0,0.0,0.0,0.0,1.0
14,supervised_full_dataset,SRD,1.0,1.0,0.0,0.0,0.0,1.0
15,supervised_full_dataset,PED,1.0,1.0,0.0,0.0,0.0,1.0
16,supervised_full_dataset,Background,0.8443385362625122,0.9999608993530273,0.9999804496765137,1.0,0.9999608993530273,0.0
17,supervised_full_dataset,IRF,1.0,0.9998807907104492,0.0,0.0,0.0,0.9998807907104492
18,supervised_full_dataset,SRD,1.0,1.0,0.0,0.0,0.0,1.0
19,supervised_full_dataset,PED,1.0,1.0,0.0,0.0,0.0,1.0
20,supervised_full_dataset,Background,0.844251275062561,1.0,1.0,1.0,1.0,0.0
21,supervised_full_dataset,IRF,1.0,1.0,0.0,0.0,0.0,1.0
22,supervised_full_dataset,SRD,1.0,1.0,0.0,0.0,0.0,1.0
23,supervised_full_dataset,PED,1.0,1.0,0.0,0.0,0.0,1.0
24,supervised_full_dataset,Background,0.8442365527153015,1.0,1.0,1.0,1.0,0.0
25,supervised_full_dataset,IRF,1.0,1.0,0.0,0.0,0.0,1.0
26,supervised_full_dataset,SRD,1.0,1.0,0.0,0.0,0.0,1.0
27,supervised_full_dataset,PED,1.0,1.0,0.0,0.0,0.0,1.0
28,supervised_full_dataset,Background,0.8441985845565796,0.9999885559082031,0.9999942779541016,1.0,0.9999885559082031,0.0
29,supervised_full_dataset,IRF,1.0,1.0,0.0,0.0,0.0,1.0
30,supervised_full_dataset,SRD,1.0,1.0,0.0,0.0,0.0,1.0
31,supervised_full_dataset,PED,1.0,1.0,0.0,0.0,0.0,1.0
32,supervised_full_dataset,Background,0.8442423343658447,1.0,1.0,1.0,1.0,0.0
33,supervised_full_dataset,IRF,1.0,1.0,0.0,0.0,0.0,1.0
34,supervised_full_dataset,SRD,1.0,1.0,0.0,0.0,0.0,1.0
35,supervised_full_dataset,PED,1.0,1.0,0.0,0.0,0.0,1.0
