,Model,Task,Dice,Accuracy,F1,Precision,Recall,Specificity
0,untrained_baseline,Background,0.7880187034606934,0.958796501159668,0.9789648652076721,1.0,0.958796501159668,0.0
1,untrained_baseline,IRF,1.0,0.017732620239257812,0.0,0.0,0.0,0.017732620239257812
2,untrained_baseline,SRD,1.0,0.11086750030517578,0.0,0.0,0.0,0.11086750030517578
3,untrained_baseline,PED,1.0,0.980097770690918,0.0,0.0,0.0,0.980097770690918
4,untrained_baseline,Background,0.7890188097953796,0.9645414352416992,0.9819507002830505,1.0,0.9645414352416992,0.0
5,untrained_baseline,IRF,1.0,0.014667510986328125,0.0,0.0,0.0,0.014667510986328125
6,untrained_baseline,SRD,1.0,0.08736801147460938,0.0,0.0,0.0,0.08736801147460938
7,untrained_baseline,PED,1.0,0.9902515411376953,0.0,0.0,0.0,0.9902515411376953
8,untrained_baseline,Background,0.7905407547950745,0.9629077911376953,0.9811034202575684,1.0,0.9629077911376953,0.0
9,untrained_baseline,IRF,1.0,0.01817035675048828,0.0,0.0,0.0,0.01817035675048828
10,untrained_baseline,SRD,1.0,0.09277153015136719,0.0,0.0,0.0,0.09277153015136719
11,untrained_baseline,PED,1.0,0.9857063293457031,0.0,0.0,0.0,0.9857063293457031
12,untrained_baseline,Background,0.7883572578430176,0.9571056365966797,0.9780827760696411,1.0,0.9571056365966797,0.0
13,untrained_baseline,IRF,1.0,0.015374183654785156,0.0,0.0,0.0,0.015374183654785156
14,untrained_baseline,SRD,1.0,0.1243743896484375,0.0,0.0,0.0,0.1243743896484375
15,untrained_baseline,PED,1.0,0.9853763580322266,0.0,0.0,0.0,0.9853763580322266
16,untrained_baseline,Background,0.7874882221221924,0.9536113739013672,0.976254940032959,1.0,0.9536113739013672,0.0
17,untrained_baseline,IRF,1.0,0.01494598388671875,0.0,0.0,0.0,0.01494598388671875
18,untrained_baseline,SRD,1.0,0.12718963623046875,0.0,0.0,0.0,0.12718963623046875
19,untrained_baseline,PED,1.0,0.9738826751708984,0.0,0.0,0.0,0.9738826751708984
20,untrained_baseline,Background,0.7882643342018127,0.9536561965942383,0.9762784242630005,1.0,0.9536561965942383,0.0
21,untrained_baseline,IRF,1.0,0.018001556396484375,0.0,0.0,0.0,0.018001556396484375
22,untrained_baseline,SRD,1.0,0.14752483367919922,0.0,0.0,0.0,0.14752483367919922
23,untrained_baseline,PED,1.0,0.9753961563110352,0.0,0.0,0.0,0.9753961563110352
24,untrained_baseline,Background,0.7877866625785828,0.9540233612060547,0.9764707684516907,1.0,0.9540233612060547,0.0
25,untrained_baseline,IRF,1.0,0.022634506225585938,0.0,0.0,0.0,0.022634506225585938
26,untrained_baseline,SRD,1.0,0.12888145446777344,0.0,0.0,0.0,0.12888145446777344
27,untrained_baseline,PED,1.0,0.9689674377441406,0.0,0.0,0.0,0.9689674377441406
